PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA4900925,SEBASTIANI VINEYARDS,Region 9,California,Non-Transient non-community system,157,,Sonoma,4,4,3
CA4700663,"WEED GOLF CLUB, INC.",Region 9,California,Transient non-community system,110,,Siskiyou,2,28,6
CA4200972,PEAKE RANCH,Region 9,California,Transient non-community system,93,,Santa Barbara,2,0,1
CA2300953,BOONVILLE HOTEL,Region 9,California,Transient non-community system,25,,Mendocino,3,0,1
CA2300954,OFFSTREET STUDIOS,Region 9,California,Transient non-community system,25,,Mendocino,3,0,2
CA4600066,THE LURE,Region 9,California,Transient non-community system,55,,Sierra,4,24,5
CA3303090,MISSION CREEK PRESERVE,Region 9,California,Transient non-community system,30,,Riverside,2,9,5
CA5200540,REEDS CREEK SCHOOL,Region 9,California,Non-Transient non-community system,196,,Tehama,2,1,8
CA0300088,BLACK CHASM CAVERN,Region 9,California,Transient non-community system,112,,Amador,3,3,5
CA4901143,SENECA FAMILY OF AGENCIES,Region 9,California,Non-Transient non-community system,40,,Sonoma,3,6,3
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,026",,Tulare,9,62,9
CA4210011,SANTA MARIA WATER DEPARTMENT,Region 9,California,Community water system,"107,356",,Santa Barbara,29,5,20
CA1503669,NORTH KRANENBURG WS,Region 9,California,Community water system,28,,Kern,2,1,3
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,701,,Trinity,16,35,23
CA4300839,SAN MARTIN LIONS CLUB,Region 9,California,Transient non-community system,30,,Santa Clara,3,3,7
CA3710014,"OCEANSIDE, CITY OF",Region 9,California,Community water system,"178,021",OCEANSIDE,San Diego,40,3,25
CA3200123,BOURBON & WATER CO,Region 9,California,Transient non-community system,25,,Plumas,3,5,7
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,Region 9,California,Community water system,160,,San Benito,3,29,8
CA1500478,"VALLEY ESTATES POA, INC.",Region 9,California,Community water system,386,,Kern,3,21,9
CA3600597,PALI OVERNIGHT ADVENTURES,Region 9,California,Non-Transient non-community system,50,,San Bernardino,8,1,39
CA4410013,SCOTTS VALLEY WATER DISTRICT,Region 9,California,Community water system,"10,709",,Santa Cruz,25,13,25
CA1000454,VIKING RV PARK,Region 9,California,Transient non-community system,86,,Fresno,2,9,5
CA2100519,ESTERO MUTUAL,Region 9,California,Community water system,186,,Marin,8,53,8
CA1700596,BLUE LAKES VILLAGE,Region 9,California,Community water system,65,,Lake,5,27,6
CA2701498,HARBOR VIEW WA,Region 9,California,Community water system,75,,Monterey,2,22,12
CA2701820,CORDA RD WS,Region 9,California,Community water system,60,,Monterey,2,18,10
CA0900603,ECHO PEAK WATER ASSOCIATION,Region 9,California,Transient non-community system,73,,El Dorado,2,11,5
CA0706049,ALOHA CLUB,Region 9,California,Transient non-community system,60,,Contra Costa,4,18,19
CA2701742,CALIFORNIA ORCHARD WS,Region 9,California,Community water system,150,,Monterey,12,14,13
CA2701403,PINE ST WS #01,Region 9,California,Community water system,36,,Monterey,5,4,11
CA2701036,APPLE AVE WS #03,Region 9,California,Community water system,60,,Monterey,2,62,12
CA2702609,SAN SABA WINERY WS,Region 9,California,Transient non-community system,29,,Monterey,2,1,6
CA2701630,PRUNEDALE CHEVRON WS,Region 9,California,Transient non-community system,25,,Monterey,2,7,10
CA2700998,BUD ANTLE MARINA WS,Region 9,California,Non-Transient non-community system,151,,Monterey,5,21,9
CA5000516,COVENANT GROVE CHURCH,Region 9,California,Transient non-community system,25,,Stanislaus,2,0,13
CA5000346,NINO'S PLACE WATER SYSTEM,Region 9,California,Transient non-community system,25,,Stanislaus,2,6,11
CA0900623,TAHOE TRAVEL INN,Region 9,California,Transient non-community system,104,,El Dorado,3,11,4
CA0900553,BEVERLY LODGE,Region 9,California,Transient non-community system,25,,El Dorado,3,10,5
CA0900535,PINEWOOD INN,Region 9,California,Transient non-community system,70,,El Dorado,3,6,7
CA5000372,STORER TRANSPORTATION,Region 9,California,Non-Transient non-community system,40,,Stanislaus,4,21,13
CA4901419,J. RICKARDS WINERY,Region 9,California,Transient non-community system,35,,Sonoma,2,0,1
CA5500115,SUGAR PINE RV RESORT,Region 9,California,Community water system,244,,Tuolumne,3,1,9
CA1010007,CITY OF FRESNO,Region 9,California,Community water system,"541,990",FRESNO,Fresno,847,11,66
CA1910154,CITY OF SOUTH PASADENA,Region 9,California,Community water system,"26,174",SOUTH PASADENA,Los Angeles,20,3,18
CA2300629,POMO CAMPGROUND,Region 9,California,Transient non-community system,200,,Mendocino,7,1,3
CA2300625,INN AT SCHOOLHOUSE CREEK,Region 9,California,Transient non-community system,77,,Mendocino,7,24,2
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Region 9,California,Community water system,"9,600",,Los Angeles,20,0,27
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,Region 9,California,Community water system,"1,300",,El Dorado,5,3,14
CA5500141,CAMP TAWONGA,Region 9,California,Transient non-community system,465,,Tuolumne,3,1,8
CA4600018,SIERRAVILLE P.U.D.,Region 9,California,Community water system,200,,Sierra,3,22,19
CA1200710,VIEW CREST LODGE,Region 9,California,Transient non-community system,168,,Humboldt,3,41,8
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,Region 9,California,Non-Transient non-community system,82,,Alameda,5,8,9
CA1000053,LANARE COMMUNITY SERVICES DIST,Region 9,California,Community water system,660,,Fresno,7,58,13
CA0910019,LAKESIDE PARK ASSOCIATION,Region 9,California,Community water system,"1,000",,El Dorado,6,2,14
CA5000101,CHATOM SCHOOL (EH),Region 9,California,Non-Transient non-community system,500,,Stanislaus,2,4,12
CA0900562,HEATHER LAKE ROAD TRACT,Region 9,California,Transient non-community system,39,,El Dorado,3,4,5
CA0706055,TUGS,Region 9,California,Transient non-community system,70,,Contra Costa,2,11,17
CA0707519,DUTCH SLOUGH WATER WORKS,Region 9,California,Community water system,49,,Contra Costa,2,6,20
CA0707597,SANDY POINT MOBILE HOME PARK,Region 9,California,Community water system,67,,Contra Costa,2,7,20
CA5000502,RESENDIZ FRUIT BARN,Region 9,California,Transient non-community system,25,,Stanislaus,2,2,11
CA5000368,MABLE AVE BAPTIST CHURCH,Region 9,California,Transient non-community system,50,,Stanislaus,2,5,9
CA1000282,SCE/CAMP EDISON-SHAVER,Region 9,California,Transient non-community system,200,,Fresno,6,6,6
CA2000966,SIERRA PINES CHURCH,Region 9,California,Transient non-community system,300,MADERA,Madera,2,0,1
CA5400660,LAKE SUCCESS MOBILE LODGE,Region 9,California,Community water system,80,,Tulare,4,52,7
CA1000490,LOS GATOS TOMATO PRODUCTS,Region 9,California,Non-Transient non-community system,200,,Fresno,5,29,14
CA2800297,MAXVILLE LAKE WINERY,Region 9,California,Transient non-community system,25,,Napa,4,12,9
CA0610002,CITY OF COLUSA,Region 9,California,Community water system,"6,175",COLUSA,Colusa,12,2,35
CA3103283,"ROLLINS LAKE RESORT, LONG RAVINE",Region 9,California,Transient non-community system,160,,Placer,4,2,7
CA4800801,NEIL'S SERVICE CENTER,Region 9,California,Non-Transient non-community system,170,,Solano,3,2,5
CA4901401,LANCASTER ESTATE WINERY,Region 9,California,Transient non-community system,40,,Sonoma,3,0,1
CA3107342,LINCOLN HIGH SCHOOL FARM,Region 9,California,Non-Transient non-community system,50,,Placer,2,0,2
CA1502561,CHEVRON SAN JOAQUIN,Region 9,California,Non-Transient non-community system,300,,Kern,8,9,4
CA3100014,BAKER RANCH WATER CORP,Region 9,California,Community water system,150,,Placer,4,7,16
CA5500148,CHINESE CAMP SCHOOL,Region 9,California,Non-Transient non-community system,35,,Tuolumne,3,5,13
CA2300620,SEAFOAM LODGE,Region 9,California,Transient non-community system,56,,Mendocino,4,8,3
CA3600532,CAMP SKY MEADOWS,Region 9,California,Transient non-community system,150,,San Bernardino,3,24,30
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,Region 9,California,Community water system,499,,Placer,2,3,4
CA4200944,SHOESTRING WINERY,Region 9,California,Transient non-community system,50,,Santa Barbara,2,0,3
CA3700782,FALLBROOK KAMP RETREAT,Region 9,California,Transient non-community system,55,,San Diego,6,14,5
CA1000244,SHADY LAKES MOBILE HOME PARK,Region 9,California,Community water system,160,,Fresno,5,17,10
CA5400526,"WESPAK, INC.",Region 9,California,Non-Transient non-community system,53,,Tulare,7,18,9
CA3600149,"OG INVESTMENTS, LLC",Region 9,California,Transient non-community system,500,,San Bernardino,7,3,37
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"7,086",,San Luis Obispo,21,2,21
CA3600386,FOOTHILL ESTATES MHP,Region 9,California,Community water system,135,,San Bernardino,3,4,39
CA3310029,"PERRIS, CITY OF",Region 9,California,Community water system,"7,854",PERRIS,Riverside,7,8,10
CA3310082,NORTH PERRIS WATER SYSTEM,Region 9,California,Community water system,"4,500",,Riverside,7,2,11
CA0605002,MORNING STAR PKG. CO.-WMS.,Region 9,California,Non-Transient non-community system,390,,Colusa,5,1,8
CA2702539,SCHEID VINEYARD WS,Region 9,California,Non-Transient non-community system,105,,Monterey,3,10,10
CA2702575,TREE BONES RESORT WS,Region 9,California,Transient non-community system,25,,Monterey,2,5,19
CA2702544,SANCTUARY BIBLE CHURCH WS,Region 9,California,Transient non-community system,25,,Monterey,2,12,7
CA5100172,ENCINAL ELEMENTARY SCHOOL,Region 9,California,Non-Transient non-community system,128,,Sutter,4,20,8
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Region 9,California,Community water system,"66,967",LYNWOOD,Los Angeles,27,7,69
CA4100553,PIGEON POINT YOUTH HOSTEL,Region 9,California,Transient non-community system,56,,San Mateo,3,5,30
CA4110029,BUTANO STATE PARK - CSP,Region 9,California,Transient non-community system,507,,San Mateo,3,15,8
CA4100575,CSP - ANO NUEVO STATE RESERVE,Region 9,California,Transient non-community system,615,,San Mateo,6,2,9
CA3710002,VALLECITOS WD,Region 9,California,Community water system,"105,513",,San Diego,8,0,12
CA5403200,OL' BUCKAROO,Region 9,California,Transient non-community system,25,,Tulare,4,0,2
CA2702595,CACHAGUA COMM CTR WS,Region 9,California,Non-Transient non-community system,33,,Monterey,4,20,2
CA2702373,PHENEGER CREEK WS,Region 9,California,Non-Transient non-community system,219,,Monterey,4,7,5
CA2702466,SAN VICENTE MWC,Region 9,California,Community water system,69,,Monterey,6,30,11
CA2702503,CARMEL VALLEY TENNIS CAMP WS,Region 9,California,Transient non-community system,73,,Monterey,2,3,7
CA2701681,EXXON STATION WS,Region 9,California,Transient non-community system,100,,Monterey,2,21,8
CA2400315,MERCED FRUIT BARN,Region 9,California,Transient non-community system,63,,Merced,2,0,2
CA3500581,RANCHO SAN JOAQUIN MWC,Region 9,California,Community water system,96,,San Benito,4,15,6
CA2701232,OLD NATIVIDAD RD WS #01,Region 9,California,Transient non-community system,25,,Monterey,6,16,16
CA2701935,MOUNT TORO RANCHOS MWA,Region 9,California,Community water system,45,,Monterey,6,9,12
CA4210013,SOLVANG WATER DIVISION,Region 9,California,Community water system,"5,771",,Santa Barbara,19,12,21
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,Region 9,California,Community water system,310,,Mendocino,13,7,8
CA1503305,EL TACO LOCO,Region 9,California,Transient non-community system,300,,Kern,6,6,17
CA2400328,GARCIA FARMS PRODUCE,Region 9,California,Transient non-community system,45,LIVINGSTON,Merced,2,0,2
CA1009120,RAU DAIRY,Region 9,California,Community water system,105,,Fresno,3,31,7
CA5103335,LIVE OAK CHILD CARE CENTER,Region 9,California,Non-Transient non-community system,50,,Sutter,6,26,14
CA1000565,USDA AGRICULTURAL RESEARCH SERVICE,Region 9,California,Non-Transient non-community system,130,,Fresno,2,4,3
CA5510851,CDCR - SIERRA CONSERVATION CENTER,Region 9,California,Community water system,"3,885",,Tuolumne,3,14,9
CA2400062,SNELLING MERCED FALLS SCHOOL,Region 9,California,Non-Transient non-community system,85,,Merced,2,2,4
CA4900912,SALT & STONE RESTAURANT,Region 9,California,Transient non-community system,80,,Sonoma,4,1,2
CA3301939,JEWEL DATE CO. INC.,Region 9,California,Non-Transient non-community system,88,,Riverside,6,7,8
CA3301373,OASIS DATE GARDENS,Region 9,California,Non-Transient non-community system,832,,Riverside,2,35,20
CA3301935,"BAGDASARIAN PACKING THERMAL, LLC",Region 9,California,Non-Transient non-community system,250,,Riverside,3,17,14
CA3301143,CENTRO MEDICO OASIS,Region 9,California,Non-Transient non-community system,122,,Riverside,4,4,3
CA2701446,LUCIA WS,Region 9,California,Transient non-community system,50,,Monterey,3,3,5
CA2700552,ECHO VALLEY SCHOOL WS,Region 9,California,Non-Transient non-community system,579,,Monterey,6,23,11
CA2700577,ELKHORN SCHOOL WS,Region 9,California,Non-Transient non-community system,694,,Monterey,3,6,7
CA2700705,PRUNEDALE SCHOOL WS,Region 9,California,Non-Transient non-community system,655,,Monterey,3,9,10
CA2702490,CENTRAL BAY HIGH SCHOOL WS,Region 9,California,Non-Transient non-community system,70,,Monterey,2,6,10
CA2701297,CARMEL BY THE RIVER RV PARK WS,Region 9,California,Transient non-community system,143,,Monterey,4,15,6
CA2600530,CRYSTAL CRAG WATER & DEVELOPMENT ASSOC.,Region 9,California,Transient non-community system,75,,Mono,5,26,17
CA2701687,VALLEY OAKS MHP WS,Region 9,California,Community water system,120,,Monterey,2,25,10
CA2400307,CRESSEY STORE,Region 9,California,Transient non-community system,26,,Merced,2,0,1
CA2300958,PENNYROYAL FARM,Region 9,California,Transient non-community system,30,,Mendocino,3,0,1
CA1503684,148 EAST WATER SYSTEM,Region 9,California,Community water system,36,,Kern,2,3,2
CA3901304,ENCLAVE AT THE DELTA,Region 9,California,Community water system,39,,San Joaquin,4,16,43
CA0900631,CAMP CONCORD,Region 9,California,Transient non-community system,69,,El Dorado,3,10,5
CA5500360,SIERRA PACIFIC INDUSTRIES,Region 9,California,Non-Transient non-community system,130,,Tuolumne,3,2,2
CA3301222,DOWLING FRUIT ORCHARD,Region 9,California,Transient non-community system,"1,522",,Riverside,4,6,7
CA1105007,"FARMERS BREWING CO.,LLC",Region 9,California,Transient non-community system,25,BUTTE CITY,Glenn,2,0,1
CA0605012,ADAM'S VEGETABLE OILS,Region 9,California,Non-Transient non-community system,99,,Colusa,4,4,1
CA0810003,BERTSCH OCEAN VIEW CSD,Region 9,California,Community water system,"1,600",,Del Norte,3,1,13
CA4200630,LOS PRIETOS BOY'S CAMP,Region 9,California,Non-Transient non-community system,68,,Santa Barbara,4,9,10
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,Region 9,California,Community water system,60,,Kern,12,3,6
CA4200618,MIDLAND SCHOOL,Region 9,California,Community water system,300,,Santa Barbara,7,12,9
CA1502600,WEGIS MUTUAL WATER COMPANY,Region 9,California,Community water system,64,,Kern,2,19,5
CA4901278,CLINE CELLARS,Region 9,California,Non-Transient non-community system,500,,Sonoma,3,5,2
CA4901310,JACUZZI WINERY,Region 9,California,Transient non-community system,108,,Sonoma,3,2,1
CA5500090,DARDANELLES RESORT,Region 9,California,Transient non-community system,42,,Tuolumne,2,34,7
CA4901244,HUMANE SOCIETY OF SONOMA COUNTY,Region 9,California,Non-Transient non-community system,25,,Sonoma,4,2,4
CA4900946,TRENTADUE WINERY,Region 9,California,Transient non-community system,50,,Sonoma,3,15,2
CA2701152,FLORICULTURA PACIFIC WS,Region 9,California,Non-Transient non-community system,125,,Monterey,4,5,5
CA2700738,SAN MIGUEL WS #01,Region 9,California,Community water system,100,,Monterey,5,76,12
CA2701814,PRUNEDALE PLAZA WS,Region 9,California,Transient non-community system,90,,Monterey,3,9,8
CA2701956,PIONEER PLACE MWS,Region 9,California,Community water system,66,,Monterey,3,21,15
CA2701789,HOLLY HILLS MWC,Region 9,California,Community water system,108,,Monterey,5,10,10
CA2700606,HIDDEN VIEWS MHP WS,Region 9,California,Community water system,75,,Monterey,3,33,12
CA2701279,COASTLANDS MWS (POST CREEK),Region 9,California,Community water system,129,,Monterey,7,12,6
CA2700548,DOLAN RD MWC,Region 9,California,Community water system,120,,Monterey,3,20,9
CA2701837,MERIDIAN RD WS #09,Region 9,California,Non-Transient non-community system,37,,Monterey,3,26,11
CA2702551,LOMA VISTA INN WS,Region 9,California,Transient non-community system,70,,Monterey,2,12,6
CA3601027,APPLE VALLEY FAITH CENTER,Region 9,California,Transient non-community system,30,,San Bernardino,3,2,43
CA4200973,FOLDED HILLS WINERY,Region 9,California,Transient non-community system,235,,Santa Barbara,2,0,1
CA2000890,HOUNDS TOOTH INN,Region 9,California,Transient non-community system,30,,Madera,11,9,5
CA2000817,SUGAR PINE PIZZA,Region 9,California,Transient non-community system,102,,Madera,12,11,11
CA2300518,NELSON FAMILY VINEYARDS,Region 9,California,Non-Transient non-community system,27,UKIAH,Mendocino,2,0,0
CA2800066,MIRA WINERY,Region 9,California,Transient non-community system,25,,Napa,2,0,1
CA1800585,LASSEN COMMUNITY COLLEGE DIST.,Region 9,California,Non-Transient non-community system,"1,375",,Lassen,8,7,11
CA4500063,CEDAR CREEK MOBILEHOME PARK,Region 9,California,Community water system,40,,Shasta,4,28,8
CA2700999,OAK PARK WS,Region 9,California,Transient non-community system,53,,Monterey,2,14,9
CA4500338,ANSELMO VINEYARDS / SEVEN HILL LLC,Region 9,California,Transient non-community system,33,,Shasta,4,7,4
CA2400078,TURLOCK GOLF & COUNTRY CLUB,Region 9,California,Non-Transient non-community system,400,,Merced,6,13,3
CA5400509,PANORAMA HEIGHTS PROP OWNERS,Region 9,California,Transient non-community system,144,,Tulare,4,13,8
CA1000540,"BHANDAL, INC",Region 9,California,Transient non-community system,25,,Fresno,2,4,5
CA2400113,SCHELBY SCHOOL,Region 9,California,Non-Transient non-community system,290,,Merced,6,2,3
CA3500913,EARTHBOUND FARM,Region 9,California,Non-Transient non-community system,925,,San Benito,9,18,8
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Region 9,California,Community water system,"10,667",,San Bernardino,13,13,15
CA2400250,MINTURN HULLER,Region 9,California,Transient non-community system,95,,Merced,2,2,2
CA0600003,GRIMES BOAT AND LANDING,Region 9,California,Transient non-community system,50,,Colusa,2,0,4
CA5401004,"STYROTEK, INC.",Region 9,California,Non-Transient non-community system,36,,Tulare,8,41,10
CA2400085,FIREBAUGH TRAVEL PLAZA (SW),Region 9,California,Transient non-community system,250,,Merced,6,24,3
CA0900560,FLL MUTUAL,Region 9,California,Transient non-community system,100,,El Dorado,4,28,4
CA0900638,PHILLIPS TRACT MUTUAL WATER COMPANY,Region 9,California,Transient non-community system,84,,El Dorado,8,26,5
CA5000383,TAQUERIA RANCHO ALEGRE,Region 9,California,Transient non-community system,26,,Stanislaus,5,11,13
CA4901361,ANABA WINERY,Region 9,California,Transient non-community system,100,,Sonoma,3,12,2
CA4301011,NESTLDOWN RANCH,Region 9,California,Transient non-community system,250,,Santa Clara,3,0,2
CA5400602,EAGLE'S NEST RESORT,Region 9,California,Community water system,279,,Tulare,2,33,11
CA2800625,ADVENTIST HEALTH - ST. HELENA HOSPITAL,Region 9,California,Community water system,860,,Napa,28,5,7
CA1000424,PRATHER WATER DISTRICT,Region 9,California,Non-Transient non-community system,449,,Fresno,5,23,8
CA2310009,BROOKTRAILS TOWNSHIP CSD,Region 9,California,Community water system,"3,800",,Mendocino,6,3,13
CA4910020,SONOMA COUNTY WATER AGENCY,Region 9,California,Community water system,0,,Sonoma,29,2,19
CA5500194,"PEPPERY BAR AND GRILL, THE",Region 9,California,Transient non-community system,"4,500",,Tuolumne,4,4,6
CA1503667,DERREL'S MINI STORAGE #66,Region 9,California,Transient non-community system,28,,Kern,2,3,3
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Region 9,California,Community water system,27,,Sonoma,3,13,3
CA4110016,TOWN OF HILLSBOROUGH,Region 9,California,Community water system,"10,910",,San Mateo,2,2,11
CA4110001,MID-PENINSULA WATER DISTRICT,Region 9,California,Community water system,"28,050",,San Mateo,5,3,20
CA4100513,PESCADERO HIGH SCHOOL,Region 9,California,Non-Transient non-community system,192,,San Mateo,7,5,38
CA1000247,SHERWOOD FOREST MHP,Region 9,California,Community water system,75,,Fresno,3,39,8
CA5403062,COMFORT INN & SUITES,Region 9,California,Transient non-community system,150,,Tulare,2,18,6
CA2700766,STRAWBERRY RD WS #06,Region 9,California,Community water system,78,,Monterey,2,24,12
CA2700535,JOST POST WA,Region 9,California,Community water system,60,,Monterey,5,18,10
CA2701273,RIVERSIDE CAMPGROUND WS,Region 9,California,Transient non-community system,100,,Monterey,3,17,3
CA2701945,BIG SUR CAMPGROUND WS,Region 9,California,Transient non-community system,209,,Monterey,6,6,4
CA2702336,MONTEREY BAY NURSERY WS,Region 9,California,Non-Transient non-community system,61,,Monterey,4,15,8
CA1503662,ALTA WIND PROJECT O&M FACILITY WATER SYS,Region 9,California,Non-Transient non-community system,46,,Kern,3,5,3
CA0105016,MOUNTAIN HOUSE BAR,Region 9,California,Transient non-community system,25,,Alameda,2,5,2
CA1200501,ALDERPOINT COUNTY WATER,Region 9,California,Community water system,219,,Humboldt,3,52,15
CA3600756,OAK GLEN CHRISTIAN CONFERENCE CENTER,Region 9,California,Transient non-community system,180,,San Bernardino,3,25,34
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,Region 9,California,Community water system,200,,San Diego,15,27,18
CA3710012,RANCHO PAUMA MUTUAL WC,Region 9,California,Community water system,899,,San Diego,33,12,13
CA2702135,FOOTHILL WA,Region 9,California,Community water system,46,,Monterey,2,5,9
CA2700702,PRUNEDALE MWC,Region 9,California,Community water system,277,,Monterey,10,32,15
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,Region 9,California,Community water system,"8,360",,San Bernardino,86,4,11
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,Region 9,California,Community water system,270,,Kern,5,36,6
CA2310002,ROGINA WATER COMPANY INC.,Region 9,California,Community water system,"3,700",,Mendocino,9,2,9
CA1700738,BOATIQUE WINES,Region 9,California,Transient non-community system,25,,Lake,3,0,1
CA1900616,THE RIVER COMMUNITY,Region 9,California,Community water system,35,,Los Angeles,5,5,15
CA2701951,MASSA ESTATE VINYEARDS WS (PREV HELLER),Region 9,California,Transient non-community system,30,,Monterey,7,7,9
CA3610086,WEST END CONSOLIDATED WATER COMPANY,Region 9,California,Community water system,0,,San Bernardino,15,0,10
CA5403144,ALI MUTUAL WATER CO,Region 9,California,Community water system,39,,Tulare,5,13,4
CA2300811,ALBION RIVER INN,Region 9,California,Transient non-community system,53,,Mendocino,3,2,5
CA2800970,HOWELL MOUNTAIN SCHOOL,Region 9,California,Non-Transient non-community system,100,,Napa,3,5,18
CA4900578,CARMET BY THE SEA WATER COMPANY,Region 9,California,Community water system,280,,Sonoma,4,9,3
CA1610700,LEMOORE NAVAL AIR STATION,Region 9,California,Community water system,"14,000",,Kings,11,32,15
CA1502690,"DUNE 3 MUTUAL WATER COMPANY, LLC",Region 9,California,Community water system,119,,Kern,3,11,5
CA5410015,"TULARE, CITY OF",Region 9,California,Community water system,"65,982",TULARE,Tulare,90,9,27
CA1500516,TUT BROTHERS FARM #96,Region 9,California,Community water system,30,,Kern,5,41,13
CA1500494,WILSON ROAD WATER COMMUNITY,Region 9,California,Community water system,66,,Kern,3,51,7
CA0410006,SFWP-MINERS RANCH,Region 9,California,Community water system,"22,780",,Butte,4,0,31
CA0410012,SFWP-BANGOR,Region 9,California,Community water system,73,,Butte,4,0,17
CA0400137,SFWP - SLY CREEK CAMPGROUND,Region 9,California,Transient non-community system,85,,Butte,2,0,6
CA0400138,SFWP - STRAWBERRY CAMPROUND,Region 9,California,Transient non-community system,75,,Butte,3,0,6
CA4400571,DAVENPORT COUNTY SANITATION,Region 9,California,Community water system,350,,Santa Cruz,5,27,10
CA4400595,VILLA DEL MONTE MWC,Region 9,California,Community water system,419,,Santa Cruz,3,28,15
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,Region 9,California,Community water system,69,,San Benito,3,5,8
CA3600185,OAK GLEN DOMESTIC WATER,Region 9,California,Community water system,175,,San Bernardino,5,33,34
CA2701906,LAKE SAN ANTONIO PARK WS,Region 9,California,Community water system,54,,Monterey,4,5,3
CA2700669,ORCHARD LN WS #02,Region 9,California,Community water system,32,,Monterey,3,8,12
CA2702293,ROD MCLELLAN BOTANICALS WS,Region 9,California,Non-Transient non-community system,81,,Monterey,3,8,11
CA1800576,LONG VALLEY CHARTER SCHOOL,Region 9,California,Non-Transient non-community system,150,,Lassen,2,0,8
CA1800511,LAKE FOREST MUTUAL W.C.,Region 9,California,Community water system,565,,Lassen,3,12,15
CA3400113,CLIFF'S MARINA,Region 9,California,Transient non-community system,30,,Sacramento,2,5,19
CA3400226,VIRGIN STURGEON,Region 9,California,Transient non-community system,200,,Sacramento,2,3,11
CA3400448,SAN ANDREAS RV PARK,Region 9,California,Transient non-community system,30,,Sacramento,3,5,24
CA3400278,AMERICAN RIVER COLLEGE,Region 9,California,Non-Transient non-community system,"2,000",,Sacramento,4,15,17
CA3400434,CARSON LANDSCAPE INDUSTRIES,Region 9,California,Non-Transient non-community system,175,,Sacramento,2,2,12
CA3400208,SAC VALLEY TRUCK STOP,Region 9,California,Transient non-community system,100,,Sacramento,2,23,24
CA3400428,TRAP THE (SWS),Region 9,California,Transient non-community system,65,,Sacramento,2,2,17
CA3400459,ON THE Y,Region 9,California,Transient non-community system,55,,Sacramento,2,0,9
CA3400303,DELTA BEACH RESORTS [SWS],Region 9,California,Transient non-community system,50,,Sacramento,2,9,14
CA3400456,STAFFORD MEAT COMPANY,Region 9,California,Non-Transient non-community system,40,,Sacramento,2,4,15
CA3400356,OWL HARBOR,Region 9,California,Transient non-community system,100,,Sacramento,4,20,22
CA3400166,WALNUT GROVE MARINA,Region 9,California,Transient non-community system,100,,Sacramento,3,1,13
CA3400444,SHERMAN LAKE MARINA,Region 9,California,Transient non-community system,34,,Sacramento,3,3,11
CA3400151,RYDE HOTEL,Region 9,California,Transient non-community system,70,,Sacramento,4,8,23
CA3400150,DELTA CROSSING MHP,Region 9,California,Community water system,30,,Sacramento,2,7,25
CA3400286,CORDOVA GOLF COURSE,Region 9,California,Transient non-community system,100,,Sacramento,2,0,15
CA0900319,MT AUKUM SQUARE,Region 9,California,Transient non-community system,100,,El Dorado,3,6,4
CA3901310,DARRIGOS WATER SYSTEM,Region 9,California,Transient non-community system,100,,San Joaquin,4,9,44
CA0105018,PURPLE ORCHID RESORT SPA,Region 9,California,Transient non-community system,45,LIVERMORE,Alameda,2,0,1
CA5601721,USFS - CHUCHUPATE RANGER STATION,Region 9,California,Non-Transient non-community system,32,,Ventura,3,13,8
CA0610004,CITY OF WILLIAMS,Region 9,California,Community water system,"5,255",WILLIAMS,Colusa,13,3,31
CA3700970,YOGA CENTER RETREAT,Region 9,California,Transient non-community system,50,,San Diego,3,13,7
CA3701240,YOGA CENTER MOTHER'S KITCHEN,Region 9,California,Transient non-community system,100,,San Diego,4,22,8
CA3702706,BOULEVARD PINES MOBILE HOME AND RV PARK,Region 9,California,Transient non-community system,25,,San Diego,3,13,6
CA3601131,BURGER KING #9310,Region 9,California,Transient non-community system,500,,San Bernardino,4,0,29
CA3600404,SHADY LANE RV CAMP,Region 9,California,Transient non-community system,165,,San Bernardino,2,2,29
CA4500243,PG&E - PSEA  CAMP BRITTON,Region 9,California,Transient non-community system,52,,Shasta,4,5,11
CA4500244,PG&E - PSEA CAMP SHASTA,Region 9,California,Transient non-community system,51,,Shasta,4,4,11
CA4400598,"PURESOURCE WATER, INC",Region 9,California,Community water system,200,,Santa Cruz,8,16,115
