PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA2210931,MARIPOSA LUTHERAN CHURCH,Region 9,California,Transient non-community system,60,,Mariposa,4,2,4
CA1200541,PHILLIPSVILLE C.S.D.,Region 9,California,Community water system,300,,Humboldt,7,45,16
CA5403152,MOUNTAIN VIEW COLD STORAGE,Region 9,California,Non-Transient non-community system,140,,Tulare,3,8,3
CA1510004,"CASA LOMA WATER CO, INC.",Region 9,California,Community water system,900,,Kern,8,18,8
CA2400165,FOSTER FARMS DELHI FEEDMILL COLLIER ROAD,Region 9,California,Non-Transient non-community system,288,,Merced,5,27,5
CA2400166,FOSTER FARMS CHICKEN LIVEHAUL (SYCAMORE,Region 9,California,Non-Transient non-community system,103,,Merced,6,13,2
CA2400218,FOSTER FARMS FERTILIZER PLANT,Region 9,California,Non-Transient non-community system,40,,Merced,4,2,4
CA0707900,EBRPD MORGAN TERRITORY,Region 9,California,Transient non-community system,25,,Contra Costa,3,0,16
CA0707644,EBRPD ALHAMBRA,Region 9,California,Transient non-community system,70,,Contra Costa,4,0,29
CA0707643,EBRPD OLD BRIONES REGIONAL PARK,Region 9,California,Transient non-community system,40,,Contra Costa,4,0,25
CA0707502,EBRPD BLACK DIAMOND MINES,Region 9,California,Transient non-community system,45,,Contra Costa,5,0,25
CA0706112,EBRPD ROUND VALLEY WATER SYSTEM,Region 9,California,Transient non-community system,65,,Contra Costa,4,0,24
CA0706111,EBRPD LITTLE HILLS,Region 9,California,Transient non-community system,50,,Contra Costa,3,0,36
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,Region 9,California,Transient non-community system,"10,000",,Alameda,3,26,8
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,Region 9,California,Transient non-community system,35,,Alameda,5,0,5
CA1000461,CARGILL MEAT SOLUTIONS CORPORATION,Region 9,California,Non-Transient non-community system,"1,100",,Fresno,10,27,8
CA3710317,PALOMAR MTN. SP - SILVERCREST,Region 9,California,Transient non-community system,143,,San Diego,3,2,8
CA1910007,AZUSA LIGHT AND WATER,Region 9,California,Community water system,"106,400",,Los Angeles,45,1,50
CA1010028,RIVERDALE PUBLIC UTILITY DISTRICT,Region 9,California,Community water system,"3,145",,Fresno,12,49,11
CA2400046,BLACK RASCAL WATER COMPANY,Region 9,California,Community water system,367,,Merced,3,6,5
CA3500900,ASHFORD HIGHLANDS MWC,Region 9,California,Community water system,132,,San Benito,7,10,6
CA0900103,SILVERFORK STORE WATER SYSTEM,Region 9,California,Transient non-community system,50,,El Dorado,3,5,6
CA5402022,BRAVO FARMS TRAVER,Region 9,California,Transient non-community system,25,,Tulare,5,19,7
CA5205009,RED BLUFF FISH & WILDLIFE OFFICE,Region 9,California,Non-Transient non-community system,35,,Tehama,5,5,5
CA4100533,SKYLONDA MUTUAL,Region 9,California,Community water system,420,,San Mateo,10,50,61
CA3710316,PALOMAR MTN. SP - DOANE VALLEY,Region 9,California,Transient non-community system,131,,San Diego,3,4,8
CA3710311,CUYAMACA SP - PASO PICACHO,Region 9,California,Transient non-community system,696,,San Diego,6,5,10
CA1206012,WHITETHORN CONSTRUCTION,Region 9,California,Non-Transient non-community system,45,,Humboldt,3,5,3
CA1210020,FIELDBROOK GLENDALE C.S.D.,Region 9,California,Community water system,"1,848",,Humboldt,3,1,14
CA1910124,"PASADENA-CITY, WATER DEPT.",Region 9,California,Community water system,"170,402",PASADENA,Los Angeles,56,4,29
CA1000643,OPEN SKY RANCH,Region 9,California,Non-Transient non-community system,39,,Fresno,4,1,1
CA4901453,MAURITSON LABOR HOUSE,Region 9,California,Transient non-community system,37,,Sonoma,3,0,0
CA1000641,LARRY A SHEHADEY DAIRY,Region 9,California,Non-Transient non-community system,95,,Fresno,3,3,1
CA4901362,STRIPE N SEAL,Region 9,California,Non-Transient non-community system,75,,Sonoma,2,0,1
CA5700728,COMMONS FARM KITCHEN,Region 9,California,Transient non-community system,25,,Yolo,2,10,13
CA2600550,VIRGINIA CREEK SETTLEMENT,Region 9,California,Transient non-community system,47,,Mono,2,26,12
CA2600649,CROWLEY LAKE FISH CAMP,Region 9,California,Transient non-community system,46,,Mono,3,7,11
CA4901257,CAPITAL LUMBER COMPANY,Region 9,California,Non-Transient non-community system,50,,Sonoma,3,3,3
CA4901208,VALLEY OF THE MOON PLAZA SHOPPING CENTER,Region 9,California,Transient non-community system,100,,Sonoma,3,11,1
CA5500089,EVERGREEN LODGE,Region 9,California,Non-Transient non-community system,120,,Tuolumne,24,9,11
CA3705060,CAMPO GROUP LLC,Region 9,California,Transient non-community system,50,,San Diego,3,4,6
CA1000304,SIERRA INN,Region 9,California,Transient non-community system,25,,Fresno,4,32,2
CA5500171,SIERRA OUTDOOR SCHOOL,Region 9,California,Non-Transient non-community system,283,,Tuolumne,6,25,10
CA5500109,FOOTHILL HORIZONS,Region 9,California,Transient non-community system,220,,Tuolumne,3,24,5
CA5602103,CYPRESS MUTUAL WATER CO INC,Region 9,California,Community water system,228,,Ventura,3,11,6
CA1310008,"WESTMORLAND, CITY OF",Region 9,California,Community water system,"2,444",WESTMORLAND,Imperial,4,20,24
CA1502223,WILLOW SPRINGS RACEWAY,Region 9,California,Transient non-community system,"5,022",,Kern,5,9,4
CA2203059,GREEN MEADOWS OUTDOOR SCHOOL,Region 9,California,Transient non-community system,159,,Mariposa,2,0,4
