PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA1000230,FRESNO COUNTY SPORTSMEN'S CLUB,Region 9,California,Transient non-community system,30,,Fresno,3,58,8
CA1310013,SEELEY CWD,Region 9,California,Community water system,"1,730",,Imperial,4,38,20
CA2400307,CRESSEY STORE,Region 9,California,Transient non-community system,25,,Merced,2,0,0
CA1200751,CHIMNEY TREE,Region 9,California,Transient non-community system,200,,Humboldt,6,29,5
CA2710017,MARINA COAST WATER DISTRICT,Region 9,California,Community water system,"31,032",,Monterey,56,4,16
CA1502745,SYCAMORE CANYON GOLF COURSE,Region 9,California,Transient non-community system,400,,Kern,3,13,5
CA2400304,BOLAND'S MARKET,Region 9,California,Transient non-community system,25,,Merced,2,0,0
CA2400315,MERCED FRUIT BARN,Region 9,California,Transient non-community system,25,,Merced,2,0,1
CA2400222,9-IRON WATER SYSTEM,Region 9,California,Transient non-community system,90,,Merced,3,3,1
CA1700592,BAYVIEW RECREATIONAL PARK,Region 9,California,Community water system,30,,Lake,5,17,4
CA1503231,FOUR WINDS WATER SYSTEM,Region 9,California,Transient non-community system,50,,Kern,2,31,5
CA3500581,RANCHO SAN JOAQUIN MWC,Region 9,California,Community water system,116,,San Benito,3,12,4
CA3601170,MOLLY BROWN S COUNTRY CAFE,Region 9,California,Transient non-community system,25,,San Bernardino,1,0,0
CA2702799,RIVER RD WS#34,Region 9,California,Transient non-community system,45,,Monterey,1,0,0
CA4200957,KENNETH VOLK VINEYARDS,Region 9,California,Transient non-community system,35,,Santa Barbara,1,0,1
CA3700952,CROCKER FAMILY TRUST,Region 9,California,Transient non-community system,50,,San Diego,2,0,0
CA3601178,THAT CREATIVE CAFE,Region 9,California,Transient non-community system,100,,San Bernardino,1,0,0
CA3601179,EL MIRAGE SCHOOL,Region 9,California,Non-Transient non-community system,50,,San Bernardino,2,0,0
CA3705071,ALPINE AMERICAN LEGION,Region 9,California,Transient non-community system,100,,San Diego,2,0,0
CA3601112,PINE RIDGE TREATMENT CENTER,Region 9,California,Transient non-community system,25,,San Bernardino,1,0,0
CA3705072,SANTA MARGARITA COUNTY PRESERVE,Region 9,California,Transient non-community system,75,,San Diego,1,0,0
CA3710308,ANZA BORREGO SP - LUCKY 5,Region 9,California,Transient non-community system,25,,San Diego,2,0,0
CA2702802,OASIS RD WS #2,Region 9,California,Non-Transient non-community system,50,,Monterey,1,0,0
CA0900670,MARJORIE STREET APTS.,Region 9,California,Community water system,25,,El Dorado,1,0,0
CA1300680,"ORMAT NEVADA, INC",Region 9,California,Non-Transient non-community system,31,,Imperial,0,0,0
CA1300682,CAMACHO S RESTAURANT,Region 9,California,Transient non-community system,50,,Imperial,2,0,0
CA4510016,CLEAR CREEK CSD-ANDERSON,Region 9,California,Community water system,"6,724",,Shasta,9,3,36
CA3610038,"RIALTO, CITY OF",Region 9,California,Community water system,"48,623",RIALTO,San Bernardino,52,3,9
CA3610037,REDLANDS CITY MUD-WATER DIV,Region 9,California,Community water system,"80,000",REDLANDS,San Bernardino,122,2,17
CA4200960,LIVE OAK CAMPGROUND,Region 9,California,Transient non-community system,100,,Santa Barbara,2,0,4
CA4200964,FLAG IS UP FARMS,Region 9,California,Transient non-community system,150,,Santa Barbara,1,0,1
CA4200965,PARKER WINERY,Region 9,California,Transient non-community system,34,,Santa Barbara,1,1,1
CA3301140,Chuckwalla Valley Associates,Region 9,California,Transient non-community system,150,,Riverside,2,0,0
CA3400463,NATOMAS GOLF CENTER,Region 9,California,Transient non-community system,25,,Sacramento,1,0,4
CA3400464,"RIVER CITY RECOVERY CENTER, INC. (SWS)",Region 9,California,Transient non-community system,60,HERALD,,2,0,1
CA5400887,PARK INVESTMENTS WATER SYSTEM,Region 9,California,Non-Transient non-community system,120,,Tulare,5,10,4
CA1000454,VIKING RV PARK,Region 9,California,Transient non-community system,50,,Fresno,2,3,3
CA2100519,ESTERO MUTUAL,Region 9,California,Community water system,125,,Marin,9,35,7
CA1700596,LAKEVIEW HAVEN RESORT,Region 9,California,Community water system,140,,Lake,5,26,3
CA1503681,COLUMBINE VINEYARDS PART 1,Region 9,California,Non-Transient non-community system,35,,Kern,1,0,1
CA1200648,FERNBRIDGE MARKET,Region 9,California,Transient non-community system,25,,Humboldt,5,8,0
CA1503682,"SUNSELECT PRODUCE, INC.",Region 9,California,Non-Transient non-community system,80,,Kern,2,0,1
CA4810001,CITY OF BENICIA,Region 9,California,Community water system,"28,000",BENICIA,Solano,16,2,26
CA1210006,"FORTUNA, CITY OF",Region 9,California,Community water system,"11,649",FORTUNA,Humboldt,20,2,28
CA4410013,SCOTTS VALLEY WATER DISTRICT,Region 9,California,Community water system,"10,309",,Santa Cruz,35,13,21
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,Region 9,California,Community water system,"1,914",,Kern,35,0,6
CA1500374,CWS-GRAND OAKS WATER SYSTEM,Region 9,California,Community water system,120,,Kern,8,9,6
CA1510043,CWS-ONYX WATER SYSTEM,Region 9,California,Community water system,776,,Kern,10,3,5
CA1510039,CWS SOUTHLAKE SQUIRREL VALLEY SYSTEM,Region 9,California,Community water system,"2,957",,Kern,21,1,6
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,Region 9,California,Community water system,784,,Kern,17,5,3
CA1500408,CWS COUNTRYWOOD SYSTEM,Region 9,California,Community water system,285,,Kern,7,5,4
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,Region 9,California,Community water system,498,,Kern,11,11,7
CA4700531,TENNANT C.S.D.,Region 9,California,Community water system,94,,Siskiyou,3,29,8
CA1410001,"BISHOP, CITY OF",Region 9,California,Community water system,"3,879",BISHOP,Inyo,5,4,8
CA5810001,CAL-WATER SERVICE CO.-MARYSVILLE,Region 9,California,Community water system,"12,017",,Yuba,26,1,23
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,Region 9,California,Community water system,"9,427",,Butte,11,1,27
CA0410002,CAL-WATER SERVICE CO.-CHICO,Region 9,California,Community water system,"97,274",,Butte,159,5,48
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,Region 9,California,Community water system,"7,035",,Glenn,18,2,23
CA4800595,"MARIANI PACKING COMPANY, INC.",Region 9,California,Non-Transient non-community system,300,,Solano,13,1,5
CA5000586,CALIFORNIA TRANSPLANTS LLC,Region 9,California,Transient non-community system,25,,Stanislaus,1,0,2
CA5000590,CEBRO FROZEN FOODS (EH),Region 9,California,Non-Transient non-community system,25,,Stanislaus,3,3,4
CA5800009,ALCOUFFE COMMUNITY CENTER,Region 9,California,Transient non-community system,50,,Yuba,1,0,0
CA4400904,CASSIN RANCH WATER SYSTEM,Region 9,California,Community water system,120,,Santa Cruz,0,0,0
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,Region 9,California,Non-Transient non-community system,82,,Alameda,5,8,8
CA1000053,LANARE COMMUNITY SERVICES DIST,Region 9,California,Community water system,660,,Fresno,5,43,10
CA1710011,BUCKINGHAM PARK WATER DISTRICT,Region 9,California,Community water system,"1,142",,Lake,7,16,10
CA4900647,SERENO DEL MAR WATER COMPANY (PUC),Region 9,California,Community water system,200,,Sonoma,17,13,5
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,Region 9,California,Community water system,"1,500",,Napa,6,41,11
CA3310801,BAUTISTA CC NO. 36,Region 9,California,Community water system,130,,Riverside,5,6,8
CA4010901,SLOCSA #10A - CAYUCOS,Region 9,California,Community water system,857,,San Luis Obispo,2,0,3
CA4010025,SLO CWD NO. 10 - CAYUCOS WTP,Region 9,California,Community water system,0,,San Luis Obispo,8,3,20
CA4010024,SLO CWWD NO. 23 - SANTA MARGARITA,Region 9,California,Community water system,"1,259",,San Luis Obispo,11,0,13
CA4010028,SLO CSA NO. 16 - SHANDON,Region 9,California,Community water system,"1,295",,San Luis Obispo,7,0,7
CA4010080,NACIMIENTO WATER PROJECT,Region 9,California,Community water system,0,,San Luis Obispo,6,0,2
CA4010022,LOPEZ PROJECT,Region 9,California,Community water system,0,,San Luis Obispo,9,2,25
CA3301132,Diamond Valley Market Water,Region 9,California,Transient non-community system,25,,Riverside,1,0,0
CA3301137,Valley Auto Water,Region 9,California,Transient non-community system,25,,Riverside,2,0,0
CA1300676,"EARTHRISE NUTRITIONALS, LLC",Region 9,California,Non-Transient non-community system,50,,Imperial,2,0,0
CA2400208,MERCEY SPRINGS SHELL,Region 9,California,Transient non-community system,50,,Merced,4,0,1
CA1910023,AVERYDALE MWC,Region 9,California,Community water system,960,,Los Angeles,7,3,24
CA2400240,THE VISTA RANCH AND CELLARS,Region 9,California,Transient non-community system,100,,Merced,3,0,0
CA2400085,FIREBAUGH TRAVEL PLAZA (SW),Region 9,California,Transient non-community system,250,,Merced,6,24,2
CA1503660,DELTA TRADING WATER SYSTEM,Region 9,California,Non-Transient non-community system,25,,Kern,3,0,2
CA1503384,SOUTH VALLEY FARMS-BEECH HULLER/OFFICE,Region 9,California,Non-Transient non-community system,75,,Kern,3,2,1
CA1503657,KIMBERLINA HOUSING UNIT,Region 9,California,Community water system,30,,Kern,6,1,1
CA3400456,STAFFORD MEAT COMPANY,Region 9,California,Non-Transient non-community system,40,,Sacramento,1,3,8
CA5200509,SPORTSMAN MOTEL,Region 9,California,Transient non-community system,25,,Tehama,1,6,0
CA4810701,TRAVIS AIR FORCE BASE - DISTRIBUTION,Region 9,California,Community water system,"10,000",,Solano,20,8,23
CA5610007,OXNARD WATER DEPT,Region 9,California,Community water system,"200,855",,Ventura,83,4,18
CA4200961,PACIFIC COAST ENERGY CO,Region 9,California,Non-Transient non-community system,50,,Santa Barbara,2,0,1
CA0500088,MOANING CAVERN,Region 9,California,Transient non-community system,80,,Calaveras,3,0,0
CA3600096,Steve Speisser Apts (Dunes),Region 9,California,Non-Transient non-community system,70,,San Bernardino,1,0,0
CA3600610,"BAGDAD CAFE, ANDREA PRUITT",Region 9,California,Transient non-community system,25,,San Bernardino,0,0,0
CA4200949,WHITE LOTUS FOUNDATION,Region 9,California,Transient non-community system,35,,Santa Barbara,1,0,2
CA3107321,PALISADES WATER SYSTEM,Region 9,California,Transient non-community system,200,,Placer,3,0,3
CA3107328,TAMARACK LODGE,Region 9,California,Transient non-community system,25,,Placer,2,1,1
CA3601165,MY PLACE,Region 9,California,Transient non-community system,25,,San Bernardino,1,0,0
CA3601166,SHADY COVE,Region 9,California,Transient non-community system,100,,San Bernardino,2,0,0
CA2702624,UNI-KOOL WS,Region 9,California,Non-Transient non-community system,25,,Monterey,2,0,0
CA2702642,CAMPHORA-GLORIA RD WS #01,Region 9,California,Transient non-community system,25,,Monterey,1,0,0
CA2702728,ROCKY POINT RESTAURANT WS *CLOSED*,Region 9,California,Transient non-community system,26,,Monterey,2,0,0
CA4000805,CALLENDER GROVE MUTUAL WATER,Region 9,California,Community water system,30,,San Luis Obispo,2,0,0
CA3205007,PNF SPANISH CREEK CG,Region 9,California,Transient non-community system,30,,Plumas,0,0,0
CA2702609,SAN SABA WINERY WS,Region 9,California,Transient non-community system,29,,Monterey,1,0,0
CA4400902,GIZDICH HOME RANCH,Region 9,California,Community water system,200,,Santa Cruz,2,0,0
CA4400903,NARCONON VISTA BAY,Region 9,California,Community water system,80,,Santa Cruz,3,0,0
CA1300662,GORDON S WELL PARK # 2,Region 9,California,Transient non-community system,50,,Imperial,1,0,0
CA1300667,IVC DESERT MUSEUM SOCIETY INC.,Region 9,California,Transient non-community system,25,,Imperial,1,0,0
CA1300668,ALLIED WASTE OF IMPERIAL VALLEY,Region 9,California,Non-Transient non-community system,48,,Imperial,2,0,0
CA2600732,POKONOBE LODGE RES./STORE,Region 9,California,Transient non-community system,100,,Mono,0,0,0
CA2600754,CROWLEY LAKE TRAILER PARK,Region 9,California,Transient non-community system,130,,Mono,0,0,0
CA0202502,WOODFORDS STATION,Region 9,California,Transient non-community system,30,,Alpine,2,2,0
CA5400660,LAKE SUCCESS MOBILE LODGE,Region 9,California,Community water system,40,,Tulare,3,52,4
CA5000570,VALLEY PETERBILT,Region 9,California,Non-Transient non-community system,25,,Stanislaus,1,0,0
CA4400906,MYSTERY SPOT SNACK SHACK,Region 9,California,Community water system,"1,000",,Santa Cruz,2,0,0
CA5200057,SIERRA PACIFIC INDUSTRIES,Region 9,California,Non-Transient non-community system,450,,Tehama,1,0,0
CA0707542,CONCORD MT DIABLO TRAILRIDE ASSOC.,Region 9,California,Transient non-community system,120,,Contra Costa,4,11,12
CA5410039,PLAINVIEW MUTUAL WATER COMPANY,Region 9,California,Community water system,700,,Tulare,7,26,7
CA1000490,LOS GATOS TOMATO PRODUCTS,Region 9,California,Non-Transient non-community system,200,,Fresno,5,29,13
CA1502163,LINNS VALLEY SCHOOL,Region 9,California,Non-Transient non-community system,106,,Kern,2,20,4
CA3710021,SAN DIEGUITO WD,Region 9,California,Community water system,"36,750",,San Diego,2,0,8
CA3600036,CALICO GHOST TOWN,Region 9,California,Non-Transient non-community system,"1,000",,San Bernardino,3,10,44
CA1310002,"CALEXICO, CITY OF",Region 9,California,Community water system,"38,572",CALEXICO,Imperial,4,1,26
CA0610002,CITY OF COLUSA,Region 9,California,Community water system,"5,625",COLUSA,Colusa,14,1,31
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",Region 9,California,Community water system,"35,135",MANHATTAN BEACH,Los Angeles,11,2,30
CA1000587,SHAVER LAKE POINT LLC,Region 9,California,Transient non-community system,25,,Fresno,0,0,0
CA2600582,YMCA CAMP OF LOS ANGELES #1,Region 9,California,Transient non-community system,150,,Mono,2,12,0
CA0900319,MT AUKUM SQUARE,Region 9,California,Transient non-community system,100,,El Dorado,1,0,0
CA3603610,CRYSTAL LAKE PROP OWNERS,Region 9,California,Community water system,213,,San Bernardino,0,0,0
CA3610127,"San Bernardino CSA No. 70, Zone EV-1",Region 9,California,Non-Transient non-community system,"2,000",,San Bernardino,0,0,0
CA4200740,CHANNEL ISLAND ADVENTURERS,Region 9,California,Transient non-community system,50,,Santa Barbara,1,0,0
CA4410015,LOMPICO COUNTY WATER DISTRICT,Region 9,California,Community water system,"1,300",,Santa Cruz,17,22,18
CA2800016,CULINARY INSTITUTE OF AMERICA,Region 9,California,Non-Transient non-community system,25,,Napa,0,0,0
CA4110023,CITY OF SAN BRUNO,Region 9,California,Community water system,"40,165",SAN BRUNO,San Mateo,18,1,14
CA1010004,COALINGA-CITY,Region 9,California,Community water system,"19,362",COALINGA,Fresno,3,9,14
CA4901401,LANCASTER ESTATE WINERY,Region 9,California,Transient non-community system,40,,Sonoma,3,0,1
CA4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"2,336",,San Luis Obispo,15,1,12
CA1510802,KERN VALLEY STATE PRISON,Region 9,California,Community water system,"5,300",,Kern,6,22,5
CA4300839,SAN MARTIN LIONS CLUB,Region 9,California,Transient non-community system,30,,Santa Clara,3,3,5
CA1910085,MAYWOOD MUTUAL WATER CO. #2,Region 9,California,Community water system,"6,700",,Los Angeles,10,0,13
CA1000612,CLOVIS CASTLE,Region 9,California,Transient non-community system,25,CLOVIS,Fresno,2,0,1
CA3010070,GOLDEN STATE WC - YORBA LINDA,Region 9,California,Community water system,"5,551",,Orange,13,0,17
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,Region 9,California,Community water system,"5,390",,Orange,13,0,11
CA3010035,GOLDEN STATE WC - PLACENTIA,Region 9,California,Community water system,"36,374",,Orange,15,0,15
CA3010022,GOLDEN STATE WC - WEST ORANGE,Region 9,California,Community water system,"114,016",,Orange,66,0,21
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,250,,Trinity,4,33,18
CA1000570,JUVENILE JUSTICE CAMPUS,Region 9,California,Community water system,400,,Fresno,5,0,2
CA5510026,PHOENIX LAKE ESTATES CC MWC,Region 9,California,Community water system,870,,Tuolumne,7,23,6
CA2210002,PONDEROSA BASIN MUTUAL WTR CO,Region 9,California,Community water system,665,,Mariposa,22,14,6
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",Region 9,California,Community water system,"16,654",EL SEGUNDO,Los Angeles,7,1,18
CA5500141,CAMP TAWONGA,Region 9,California,Transient non-community system,400,,Tuolumne,3,1,7
CA5500060,MI-WUK HEIGHTS MWC,Region 9,California,Community water system,352,,Tuolumne,7,9,8
CA5602408,RIO SCHOOL DIST/ RIO REAL SCHOOL,Region 9,California,Non-Transient non-community system,508,,Ventura,4,2,9
CA5602406,RIO SCHOOL DIST/RIO DEL VALLE SCHOOL,Region 9,California,Non-Transient non-community system,684,,Ventura,6,3,9
CA2810002,"CALISTOGA, CITY OF",Region 9,California,Community water system,"5,155",CALISTOGA,Napa,10,4,12
CA2800972,NINE SUNS WINERY,Region 9,California,Transient non-community system,28,ST. HELENA,Napa,1,0,0
CA4600018,SIERRAVILLE P.U.D.,Region 9,California,Community water system,200,,Sierra,3,22,17
CA5500113,HEAVENLY HILLS CHRISTIAN CAMP,Region 9,California,Transient non-community system,100,,Tuolumne,2,3,2
CA1300661,CALVARY CHAPEL CHURCH,Region 9,California,Non-Transient non-community system,74,,Imperial,1,0,0
CA3705069,COUNTY LINE BBQ AND CAFE,Region 9,California,Transient non-community system,25,,San Diego,0,0,0
CA3400445,BING S MARKET,Region 9,California,Transient non-community system,50,,Sacramento,0,3,9
CA3400462,KING S SKATE COUNTRY,Region 9,California,Transient non-community system,25,,Sacramento,1,1,7
CA3200193,PNF Nervino Fire Station,Region 9,California,Transient non-community system,39,,Plumas,2,0,0
CA0900420,CRYSTAL BASIN MOUNTAIN RESORT,Region 9,California,Transient non-community system,100,,El Dorado,1,0,0
CA2702762,LONOAK RD WS #02,Region 9,California,Community water system,75,,Monterey,1,0,0
CA1000464,S&K MINI MART,Region 9,California,Transient non-community system,80,,Fresno,0,0,0
CA3301141,Aguanga Market Water System,Region 9,California,Transient non-community system,50,,Riverside,1,0,0
CA3601176,JOHNSON VALLEY COMMUNITY CENTER,Region 9,California,Transient non-community system,100,,San Bernardino,1,0,0
CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",Region 9,California,Community water system,"17,064",,San Luis Obispo,17,2,18
CA2410950,DWR - SAN LUIS DIVISION O&M,Region 9,California,Non-Transient non-community system,650,,Merced,3,20,5
CA2801012,ALPHA AND OMEGA WINERY,Region 9,California,Non-Transient non-community system,25,,Napa,3,8,11
CA1600507,HARDWICK WATER GROUP,Region 9,California,Community water system,40,,Kings,3,14,5
CA2210851,CDF  & FP - MT. BULLION,Region 9,California,Community water system,110,,Mariposa,13,4,5
CA5110002,CITY OF YUBA CITY,Region 9,California,Community water system,"65,372",YUBA CITY,Sutter,8,19,48
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Region 9,California,Community water system,115,,Kern,2,13,3
CA4901361,ANABA WINERY,Region 9,California,Transient non-community system,100,,Sonoma,3,7,2
CA5100107,SUTTER CO. WWD#1 (ROBBINS),Region 9,California,Community water system,350,,Sutter,6,50,33
CA5102005,LIVE OAK RECREATION AREA,Region 9,California,Transient non-community system,50,,Sutter,3,2,7
CA1100709,AFTON STORE,Region 9,California,Transient non-community system,25,,Glenn,2,1,9
CA4100604,NESTLDOWN RANCH,Region 9,California,Transient non-community system,250,,San Mateo,2,0,0
CA2300839,CAMP MENDOCINO,Region 9,California,Transient non-community system,260,,Mendocino,5,8,7
CA5400602,EAGLE'S NEST RESORT,Region 9,California,Community water system,50,,Tulare,3,31,7
CA1700704,SARATOGA SPRINGS,Region 9,California,Transient non-community system,50,,Lake,4,1,3
CA1000072,SHAVER LAKE POINT #2,Region 9,California,Community water system,210,,Fresno,4,20,6
