PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA1000405,DOYALS MOBILE HOME PARK,Region 9,California,Community water system,33,,Fresno,3,50,12
CA5403203,SMALL STEPS CHILD CARE CENTER,Region 9,California,Non-Transient non-community system,70,PORTERVILLE,Tulare,2,0,1
CA3610702,USMC YERMO ANNEX,Region 9,California,Non-Transient non-community system,"1,158",,San Bernardino,17,1,4
CA3610701,USMC NEBO (BARSTOW),Region 9,California,Community water system,872,,San Bernardino,2,1,4
CA4500014,LAKESHORE HEIGHTS MUTUAL WATER,Region 9,California,Community water system,225,,Shasta,7,30,5
CA4300578,ANGELO LANE WATER COMPANY,Region 9,California,Community water system,52,,Santa Clara,2,12,4
CA2410700,CASTLE AIRPORT,Region 9,California,Community water system,"1,666",,Merced,26,3,3
CA5500268,LAKE DON PEDRO HOMEOWNERS,Region 9,California,Transient non-community system,50,,Tuolumne,5,0,6
CA1300653,BORNT & SONS INC.,Region 9,California,Non-Transient non-community system,30,,Imperial,2,0,0
CA5700514,BOGLE FAMILY LIMITED PARTNER,Region 9,California,Transient non-community system,69,,Yolo,3,0,0
CA2000785,VALLEY TEEN RANCH,Region 9,California,Community water system,50,,Madera,19,17,6
CA2210939,SAVAGES TRADING POST,Region 9,California,Transient non-community system,30,,Mariposa,3,5,1
CA2202048,INDIAN FLAT R V PARK AND CAMPGROUND,Region 9,California,Transient non-community system,100,,Mariposa,3,10,3
CA2910011,PLAVADA COMMUNITY ASSOCIATION,Region 9,California,Community water system,478,,Nevada,22,26,4
CA0409189,DAUTERMAN WELL,Region 9,California,Non-Transient non-community system,100,,Butte,1,0,0
CA0400175,NORFIELD INDUSTRIES,Region 9,California,Non-Transient non-community system,62,,Butte,1,0,0
CA2410307,CDPR-DINOSAUR POINT,Region 9,California,Transient non-community system,265,,Merced,2,1,3
CA2410306,CDPR-MEDEIROS,Region 9,California,Transient non-community system,262,,Merced,2,1,3
CA2410305,CDPR-LOS BANOS CREEK,Region 9,California,Transient non-community system,104,,Merced,2,3,3
CA2410304,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,Region 9,California,Transient non-community system,458,,Merced,3,5,3
CA2410303,CDPR FOUR RIVERS DISTRICT-BASALT,Region 9,California,Transient non-community system,470,,Merced,3,3,3
CA2410302,CDPR-HATFIELD,Region 9,California,Transient non-community system,49,,Merced,2,8,3
CA2410301,CDPR-MCCONNELL,Region 9,California,Transient non-community system,140,,Merced,2,5,3
CA2210933,BLM-BRICEBURG WATER SYSTEM,Region 9,California,Transient non-community system,25,,Mariposa,7,2,2
CA5304102,TRINITY VILLAGE WATER CO. F,Region 9,California,Community water system,200,,Trinity,6,6,16
CA1503676,COUNTRYSIDE MARKET & RESTAURANTS,Region 9,California,Transient non-community system,25,,Kern,2,0,2
CA2410010,WINTON WATER & SANITARY DIST,Region 9,California,Community water system,"8,500",,Merced,32,6,9
CA3610708,BARSTOW ARMY HELIPORT,Region 9,California,Non-Transient non-community system,25,,San Bernardino,3,0,0
CA3610705,US ARMY FORT IRWIN,Region 9,California,Community water system,"16,000",,San Bernardino,29,46,5
CA1700737,ONENESS INSTITUTE,Region 9,California,Transient non-community system,40,,Lake,1,0,1
CA1110800,VALLEY VIEW C.C,Region 9,California,Non-Transient non-community system,150,,Glenn,6,2,11
CA3301143,Centro Medico Oasis,Region 9,California,Transient non-community system,"5,000",,Riverside,1,0,0
CA2702800,JOLON RD WS #6,Region 9,California,Transient non-community system,25,,Monterey,0,0,0
CA1000483,SALWASSER DEHYDRATOR,Region 9,California,Transient non-community system,40,,Fresno,4,30,3
CA3200130,PRATTVILLE WATER ASSOCIATION,Region 9,California,Transient non-community system,25,,Plumas,4,3,4
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,Region 9,California,Community water system,32,,Kern,3,4,4
CA1500516,TUT BROTHERS FARM #96,Region 9,California,Community water system,30,,Kern,3,40,11
CA3200078,FRCCSD-OLD MILL RANCH,Region 9,California,Community water system,32,,Plumas,7,26,2
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,Region 9,California,Transient non-community system,"1,000",,San Benito,5,14,6
CA1710013,CALLAYOMI COUNTY WATER DISTRICT,Region 9,California,Community water system,"1,500",,Lake,6,3,5
CA1000566,FOSTER FARMS - CEDAR HATCHERY,Region 9,California,Non-Transient non-community system,35,,Fresno,4,1,1
CA5500194,"PEPPERY BAR AND GRILL, THE",Region 9,California,Transient non-community system,"4,500",,Tuolumne,5,4,5
CA5500182,BUMBLEBEE TRACT IMP ASSOC,Region 9,California,Transient non-community system,60,,Tuolumne,2,28,5
CA1200687,RIVERBEND MOBILE HOME PARK,Region 9,California,Community water system,60,,Humboldt,3,18,6
CA4901004,CALPINE (WEST FIELD OFFICE),Region 9,California,Non-Transient non-community system,26,,Sonoma,4,1,1
CA4901030,CALPINE (GEYSERS ADMINISTRATION CENTER),Region 9,California,Non-Transient non-community system,150,,Sonoma,5,3,2
CA3107339,FOLSOM LAKE MUTUAL WATER CO,Region 9,California,Community water system,330,,Placer,2,0,1
CA1000589,AUBERRY BRANCH LIBRARY,Region 9,California,Transient non-community system,100,CLOVIS,Fresno,2,4,1
CA1000474,BEAR MOUNTAIN LIBRARY/ACT CNTR,Region 9,California,Transient non-community system,25,,Fresno,5,10,22
CA1206002,PALOMINO ESTATES M.W.C.,Region 9,California,Community water system,64,,Humboldt,3,4,11
CA1503667,DERREL'S MINI STORAGE #66,Region 9,California,Transient non-community system,26,,Kern,2,1,2
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Region 9,California,Community water system,27,,Sonoma,3,12,2
CA4110016,HILLSBOROUGH WATER DEPT.,Region 9,California,Community water system,"11,328",,San Mateo,2,2,10
CA4110001,MID-PENINSULA WATER DISTRICT,Region 9,California,Community water system,"28,050",,San Mateo,2,2,18
CA4100532,CUTTER SCOUT RESERVATION,Region 9,California,Transient non-community system,400,,San Mateo,3,5,31
CA3500578,LOS MADRONES MWC,Region 9,California,Community water system,40,,San Benito,3,15,5
CA4410017,SOQUEL CREEK WATER DISTRICT,Region 9,California,Community water system,"37,720",,Santa Cruz,74,2,12
CA5810005,NEVADA ID - SMARTVILLE,Region 9,California,Community water system,115,,Yuba,5,2,6
CA3110026,NEVADA ID - NORTH AUBURN,Region 9,California,Community water system,"6,410",,Placer,5,0,59
CA2910007,NEVADA ID - CASCADE SHORES,Region 9,California,Community water system,959,,Nevada,5,0,11
CA2910006,NEVADA ID - LOMA RICA,Region 9,California,Community water system,"11,778",,Nevada,11,0,18
CA2910004,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",Region 9,California,Community water system,"12,939",,Nevada,5,0,18
CA2910023,NEVADA ID - LAKE WILDWOOD,Region 9,California,Community water system,"7,090",,Nevada,5,0,16
CA2910014,NEVADA ID - LAKE OF PINES,Region 9,California,Community water system,"5,554",,Nevada,5,0,16
CA3500806,BLOSSOM HILL WINERY,Region 9,California,Non-Transient non-community system,60,,San Benito,6,29,7
CA1500571,"LUCKY 18 ON ROSAMOND, LLC",Region 9,California,Community water system,73,,Kern,3,57,4
CA4700513,HORNBROOK C.S.D.,Region 9,California,Community water system,280,,Siskiyou,9,31,15
CA2310009,BROOKTRAILS TOWNSHIP CSD,Region 9,California,Community water system,"3,800",,Mendocino,6,2,10
CA4310027,SANTA CLARA VALLEY WATER DISTRICT,Region 9,California,Community water system,0,,Santa Clara,43,2,46
CA3500913,EARTHBOUND FARM,Region 9,California,Non-Transient non-community system,925,,San Benito,10,18,7
CA1500553,RANCHOS DEL RIO,Region 9,California,Community water system,62,,Kern,6,26,5
CA1000609,AUBERRY LDS CHURCH,Region 9,California,Transient non-community system,192,,Fresno,2,0,0
CA4900892,SUMMIT VIEW RANCH MUTUAL WATER CO.,Region 9,California,Community water system,45,,Sonoma,3,4,2
CA1700685,AIRPORT PROPERTIES,Region 9,California,Transient non-community system,25,,Lake,2,5,2
CA1502044,CAMP TECUYA WATER SYSTEM,Region 9,California,Transient non-community system,180,,Kern,2,5,3
