"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"280","CA3701241","AL BAHR SHRINE CAMP","San Diego","Transient non-community system",NA,NA,NA
"281","CA5000378","TONY MORRIS / MORRIS DAIRY","","Community water system",NA,NA,NA
"282","CA3301643","SPRING CREST WATER & POWER","Riverside","Community water system",NA,NA,NA
"283","CA5200580","SAINT BERNARD LODGE","Tehama","Transient non-community system",NA,NA,NA
"284","CA5200581","FOREST INN, THE","Tehama","Transient non-community system",NA,NA,NA
"285","CA5305101","FIR COVE & BAILEY CANYON","Trinity","Transient non-community system",NA,NA,NA
"286","CA4600070","TNF-COLD CREEK CG","Sierra","Transient non-community system",NA,NA,NA
"287","CA1900992","BIG OAKS LODGE","Los Angeles","Transient non-community system",NA,NA,NA
"288","CA1900041","PROPERTY OWNERS WATER SYSTEM","Los Angeles","Community water system",NA,NA,NA
"289","CA4300624","NATIONAL 9 INN","Santa Clara","Transient non-community system",NA,NA,NA
"290","CA3601076","CREEK SIDE KITCHEN","San Bernardino","Transient non-community system",NA,NA,NA
"291","CA3701518","NARCONON SOUTHERN CALIFORNIA","San Diego","Transient non-community system",NA,NA,NA
"292","CA3303100","OASIS GARDENS WATER CO.","Riverside","Community water system",NA,NA,NA
"293","CA3701760","LAKE MORENA TRAILER RESORT","San Diego","Community water system",NA,NA,NA
"294","CA3100063","OPHIR GARDENS","Placer","Community water system",NA,NA,NA
"295","CA5200607","RED BLUFF STATE PRESCHOOL","Tehama","Non-Transient non-community system",NA,NA,NA
"296","CA5200596","SPECIALIZED FIBERS","Tehama","Non-Transient non-community system",NA,NA,NA
"297","CA0900579","MIDWAY MOTEL ANNEX","El Dorado","Transient non-community system",NA,NA,NA
"298","CA0900586","LAKE TAHOE INN","El Dorado","Transient non-community system",NA,NA,NA
"299","CA5301012","TRINITY RIVER LODGE","Trinity","Community water system",NA,NA,NA
"300","CA1502084","FRAZIER WOODS CONFERENCE CENTER","Kern","Transient non-community system",NA,NA,NA
"301","CA1009006","PAPPAS & CO (COALINGA)","Fresno","Community water system",NA,NA,NA
"302","CA1000536","CON AGRA FOODS, CULINARY BUSINESS F","Fresno","Non-Transient non-community system",NA,NA,NA
"303","CA3601060","ROBERTSON'S READY MIX INC","San Bernardino","Non-Transient non-community system",NA,NA,NA
"304","CA3601078","STANDARD FEEDING CO","San Bernardino","Transient non-community system",NA,NA,NA
"305","CA1502008","HOSKING AVENUE SWAP MEET","Kern","Transient non-community system",NA,NA,NA
"306","CA3301648","SUGARLOAF CAFE","Riverside","Transient non-community system",NA,NA,NA
"307","CA3301980","CABAZON WATER DIST. - ATTN: CALVIN LOUIE","Riverside","Non-Transient non-community system",NA,NA,NA
"308","CA3302041","LA HACIENDA/GONZALES WATER SYS","Riverside","Transient non-community system",NA,NA,NA
"309","CA3302045","RANCHO SAN MIGUEL LABOR CAMP","Riverside","Community water system",NA,NA,NA
"310","CA3302079","AIDA AGUIRRE","Riverside","Community water system",NA,NA,NA
"311","CA5200628","OAK CREEK GOLF CLUB","Tehama","Transient non-community system",NA,NA,NA
"312","CA5200630","FIRE MOUNTAIN LODGE","Tehama","Transient non-community system",NA,NA,NA
"313","CA5200637","BOONEDOCK HOMESTEADERS, INC.","Tehama","Transient non-community system",NA,NA,NA
"314","CA1900553","WM. S. HART HIGH / PLACERITA JR HIGH SCH","Los Angeles","Non-Transient non-community system",NA,NA,NA
"315","CA5301018","TRINITY ALPS MARINA","Trinity","Transient non-community system",NA,NA,NA
"316","CA1900547","FIRESTONE SCOUT RESERVATION","Los Angeles","Transient non-community system",NA,NA,NA
"317","CA1200698","MOBILE ESTATES  FN","Humboldt","Community water system",NA,NA,NA
"318","CA1000172","LAKESHORE RESORT","Fresno","Transient non-community system",NA,NA,NA
"319","CA1010058","EZ TRIP TRUCK STOP","Fresno","Transient non-community system",NA,NA,NA
"320","CA0400152","CYPRESS ACRES","Butte","Non-Transient non-community system",NA,NA,NA
"321","CA3301046","BOE DEL HEIGHTS MUTUAL WATER","Riverside","Community water system",NA,NA,NA
"322","CA5700814","95 FOODMART #3","Yolo","Transient non-community system",NA,NA,NA
"323","CA3701478","PHOENIX HOUSE FOUNDATION, INC.","San Diego","Non-Transient non-community system",NA,NA,NA
"324","CA5700824","SATIETY WINERY","Yolo","Transient non-community system",NA,NA,NA
"325","CA5700591","WEST SAC TRUCK STOP","Yolo","Transient non-community system",NA,NA,NA
"326","CA3302081","PEREZ WATER","Riverside","Transient non-community system",NA,NA,NA
"327","CA3205002","PLUMAS COUNTY SIERRA HOUSE","Plumas","Transient non-community system",NA,NA,NA
"328","CA0900114","CAMP NAUVOO WATER SYSTEM","El Dorado","Transient non-community system",NA,NA,NA
"329","CA0900202","CHILI BAR RIVER PARK WATER SYSTEM","El Dorado","Transient non-community system",NA,NA,NA
"330","CA0900305","CAMP VIRNER RESTAURANT","El Dorado","Transient non-community system",NA,NA,NA
"331","CA4810029","MARTIN'S METAL FABRICATION","Solano","Non-Transient non-community system",NA,NA,NA
"332","CA0900533","EAGLE FALLS","El Dorado","Transient non-community system",NA,NA,NA
"333","CA2300547","BLACKBERRY INN","Mendocino","Transient non-community system",NA,NA,NA
"334","CA4900822","MOUNT TAYLOR MOBILE HOME PARK","Sonoma","Community water system",NA,NA,NA
"335","CA3600394","NEW BEGINNINGS MHP","San Bernardino","Transient non-community system",NA,NA,NA
"336","CA2900624","PENN VALLEY COMMUNITY CHURCH","Nevada","Transient non-community system",NA,NA,NA
"337","CA2902398","CREATIVE KIDS PRESCHOOL WATER SYSTEM","Nevada","Non-Transient non-community system",NA,NA,NA
"338","CA2204090","BOOTJACK STOMPERS HALL","Mariposa","Transient non-community system",NA,NA,NA
"339","CA2500515","MJUSD-STATE LINE SCHOOL","Modoc","Non-Transient non-community system",NA,NA,NA
"340","CA0900539","SUNRAY TAHOE HOTEL","El Dorado","Transient non-community system",NA,NA,NA
"341","CA4700575","BUTTE VALLEY MIDDLE SCHOOL","Siskiyou","Non-Transient non-community system",NA,NA,NA
"342","CA5410052","LSID - EL RANCHO","Tulare","Community water system",NA,NA,NA
"343","CA4000722","FIERO LANE WATER COMPANY, INC.","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"344","CA4000512","BELLA VISTA MOBILE LODGE","San Luis Obispo","Community water system",NA,NA,NA
"345","CA1900528","USFS-CHARLTON FLATS A-8","Los Angeles","Transient non-community system",NA,NA,NA
"346","CA0400066","DURHAM UNIFIED SCHOOL DISTRICT","Butte","Non-Transient non-community system",NA,NA,NA
"347","CA1700526","PINE GROVE WATER SYSTEM","Lake","Community water system",NA,NA,NA
"348","CA1700501","ADAMS SPRINGS WATER DISTRICT","Lake","Community water system",NA,NA,NA
"349","CA0400080","CUSD - COHASSET ELEMENTARY SCHOOL","Butte","Non-Transient non-community system",NA,NA,NA
"350","CA0400107","FEATHER FALLS SCHOOL","Butte","Non-Transient non-community system",NA,NA,NA
"351","CA0400112","ONE MILE DAM REC AREA","Butte","Transient non-community system",NA,NA,NA
"352","CA0400116","BIDWELL PARK--- CAPER ACRES","Butte","Transient non-community system",NA,NA,NA
"353","CA0900542","BAYVIEW CAMPGROUND","El Dorado","Transient non-community system",NA,NA,NA
"354","CA1000164","CEDAR CREST RESORT","Fresno","Transient non-community system",NA,NA,NA
"355","CA1200792","PATRICK'S POINT INN","Humboldt","Transient non-community system",NA,NA,NA
"356","CA1900620","CAMP VALCREST","Los Angeles","Transient non-community system",NA,NA,NA
"357","CA1900831","DECKER CANYON YOUTH CAMP","Los Angeles","Transient non-community system",NA,NA,NA
"358","CA1800560","MOUNTAIN MEADOW RANCH","Lassen","Transient non-community system",NA,NA,NA
"359","CA1900806","BLUE SKIES MOBILE HOME PARK","Los Angeles","Community water system",NA,NA,NA
"360","CA4901001","WINE COUNTRY RV PARK","Sonoma","Transient non-community system",NA,NA,NA
"361","CA1900644","USFS-HORSE FLATS A-10","Los Angeles","Transient non-community system",NA,NA,NA
"362","CA3601094","FUJI NATURAL FOOD","San Bernardino","Non-Transient non-community system",NA,NA,NA
"363","CA1900305","CHALLENGER MEMORIAL YOUTH CENTER","Los Angeles","Non-Transient non-community system",NA,NA,NA
"364","CA1502666","WILCOX WATER SYSTEM","Kern","Community water system",NA,NA,NA
"365","CA0400125","GENETIC RESOURCE CENTER","Butte","Transient non-community system",NA,NA,NA
"366","CA1900212","CAMP SINGING PINES","Los Angeles","Transient non-community system",NA,NA,NA
"367","CA0400052","DESABLA - CAMP 1","Butte","Transient non-community system",NA,NA,NA
"368","CA1900834","CAMP EATON","Los Angeles","Transient non-community system",NA,NA,NA
"369","CA0310015","RABB PARK COMMUNITY SER. DIST.","Amador","Community water system",NA,NA,NA
"370","CA1000166","CAMP EL-O-WIN","Fresno","Transient non-community system",NA,NA,NA
"371","CA3301153","CVUSD, WESTSIDE SCHOOL","Riverside","Non-Transient non-community system",NA,NA,NA
"372","CA4700539","MACDOEL WATERWORKS","Siskiyou","Community water system",NA,NA,NA
"373","CA3301276","THERMAL MUTUAL WATER COMPANY","Riverside","Community water system",NA,NA,NA
"374","CA3301372","LA QUINTA RIDGE MOBILE ESTATES","Riverside","Community water system",NA,NA,NA
"375","CA3600182","HINKLEY MARKET & GAS","San Bernardino","Transient non-community system",NA,NA,NA
"376","CA3700020","ALPINE RANGER STATION","San Diego","Transient non-community system",NA,NA,NA
"377","CA1900665","SIERRA PELONA MOTEL","Los Angeles","Transient non-community system",NA,NA,NA
"378","CA4901344","GIORGIO S RESTAURANT","Sonoma","Transient non-community system",NA,NA,NA
"379","CA0800666","GRASSY FLAT CAMPGROUND","Del Norte","Transient non-community system",NA,NA,NA
"380","CA1503361","CAL MAT - PANAMA LANE FACILITY","Kern","Non-Transient non-community system",NA,NA,NA
"381","CA5400697","ARMY CORPS ENGS-ROCKY HILL","Tulare","Transient non-community system",NA,NA,NA
"382","CA4901153","JIMTOWN STORE","Sonoma","Transient non-community system",NA,NA,NA
"383","CA1009035","PILIBOS BROTHERS RANCH","Fresno","Community water system",NA,NA,NA
"384","CA4901396","RAVENSWOOD WINERY","Sonoma","Transient non-community system",NA,NA,NA
"385","CA1500508","TWIN PINES MOBILEHOME PARK","Kern","Community water system",NA,NA,NA
"386","CA3301477","100 PALMS MARKET","Riverside","Community water system",NA,NA,NA
"387","CA3500921","BLACKBURN ENT, LLC DBA PIETRA S. WINERY","San Benito","Transient non-community system",NA,NA,NA
"388","CA1700719","HILLTOP RECOVERY CENTER","Lake","Non-Transient non-community system",NA,NA,NA
"389","CA4901380","DA VERO FARMS","Sonoma","Transient non-community system",NA,NA,NA
"390","CA3900726","BENTLEY TRAILER COURT","San Joaquin","Community water system",NA,NA,NA
"391","CA1502413","BRADY S MINI MART","Kern","Transient non-community system",NA,NA,NA
"392","CA1009131","COIT RANCH CORPORATION","Fresno","Non-Transient non-community system",NA,NA,NA
"393","CA5305402","BAR 717 RANCH","Trinity","Transient non-community system",NA,NA,NA
"394","CA0600011","DEL ORO WATER CO.-WALNUT RANCH","Colusa","Community water system",NA,NA,NA
"395","CA5601206","LIMONEIRA CO. - MCKEVETT","Ventura","Community water system",NA,NA,NA
"396","CA1910141","RURBAN HOMES MUTUAL WATER CO.","Los Angeles","Community water system",NA,NA,NA
"397","CA3400140","ASPEN GROVE MH & RV PARK (SWS)","Sacramento","Community water system",NA,NA,NA
"398","CA1502153","LAKE ISABELLA MOTEL & TRAILER PARK","Kern","Transient non-community system",NA,NA,NA
"399","CA1000112","FAIRMONT SCHOOL","Fresno","Non-Transient non-community system",NA,NA,NA
"400","CA2702621","IVERSON RD WS #03","Monterey","Non-Transient non-community system",NA,NA,NA
"401","CA2700851","MONTEREY ROSES WS","Monterey","Transient non-community system",NA,NA,NA
"402","CA2702626","JOHNSON CYN WS #01","Monterey","Non-Transient non-community system",NA,NA,NA
"403","CA5201068","GOTT COUNTRY STORE","Tehama","Transient non-community system",NA,NA,NA
"404","CA5700672","BRANIGAN'S  TURKEY FARM","Yolo","Transient non-community system",NA,NA,NA
"405","CA5700716","MOUNTAIN VALLEY GOLF CENTER","Yolo","Transient non-community system",NA,NA,NA
"406","CA5700769","FRATERNAL ORDER OF EAGLES #2345","Yolo","Transient non-community system",NA,NA,NA
"407","CA1400180","BIG PINE CREEK CAMPGROUND","Inyo","Transient non-community system",NA,NA,NA
"408","CA4100537","SILVA WHOLESALE FLORIST","San Mateo","Community water system",NA,NA,NA
"409","CA1400190","ONION VALLEY CAMPGROUND","Inyo","Transient non-community system",NA,NA,NA
"410","CA4400542","ROLLING WOODS MUTUAL WATER CO","Santa Cruz","Community water system",NA,NA,NA
"411","CA2702601","LEWIS RD WS #20","Monterey","Community water system",NA,NA,NA
"412","CA2701165","SENSIENT DEHYDRATED**CLOSED**","Monterey","Non-Transient non-community system",NA,NA,NA
"413","CA5403009","SUPER STOP","Tulare","Transient non-community system",NA,NA,NA
"414","CA3705026","ERRECA S ASSOCIATES","San Diego","Transient non-community system",NA,NA,NA
"415","CA3700023","COLEMAN CREEK VILLAGE","San Diego","Transient non-community system",NA,NA,NA
"416","CA2800579","NAPA-SOLANO GIRL SCOUTS","Napa","Transient non-community system",NA,NA,NA
"417","CA5403013","PRINCE MART","Tulare","Transient non-community system",NA,NA,NA
"418","CA3601124","ETIWANDA GENERATING STATION","San Bernardino","Non-Transient non-community system",NA,NA,NA
"419","CA3601127","NRG ENERGY COOLWATER","San Bernardino","Non-Transient non-community system",NA,NA,NA
"420","CA3601132","DUCOMMUN AEROSTRUCTURES","San Bernardino","Non-Transient non-community system",NA,NA,NA
"421","CA3601024","PARKER DAM & POWER PLANT","San Bernardino","Non-Transient non-community system",NA,NA,NA
"422","CA3302088","RANCHO LA MESA RICA","Riverside","Community water system",NA,NA,NA
"423","CA3302093","COUNTY WATER OF RIVERSIDE","Riverside","Community water system",NA,NA,NA
"424","CA3303012","BEL AIR GREENS, LP","Riverside","Transient non-community system",NA,NA,NA
"425","CA3302008","SANCHEZ WATER WELL","Riverside","Community water system",NA,NA,NA
"426","CA3600316","UNION PACIFIC RR / YERMO","San Bernardino","Non-Transient non-community system",NA,NA,NA
"427","CA2800717","NAPA PIPE REDEVELOPMENT PARTNERS","Napa","Non-Transient non-community system",NA,NA,NA
"428","CA1400502","BAKER CREEK CAMPGROUND","Inyo","Transient non-community system",NA,NA,NA
"429","CA1900034","MARTINEZ/SIERRA HIGHWAY SHELL STATION","Los Angeles","Transient non-community system",NA,NA,NA
"430","CA1900126","THE ROBIN S NEST RECR. RESORT","Los Angeles","Community water system",NA,NA,NA
"431","CA2905004","CALTRANS - DONNER PASS VIS","Nevada","Non-Transient non-community system",NA,NA,NA
"432","CA3601055","ROADRUNNER MHP","San Bernardino","Community water system",NA,NA,NA
"433","CA3303028","SHADY ACRES","Riverside","Community water system",NA,NA,NA
"434","CA4901337","ALEXANDER VALLEY RV PARK & CAMPGROUND","Sonoma","Transient non-community system",NA,NA,NA
"435","CA4400701","QUAKER CENTER","Santa Cruz","Transient non-community system",NA,NA,NA
"436","CA4400703","LITTLE BASIN CAMPGROUND","Santa Cruz","Transient non-community system",NA,NA,NA
"437","CA4400706","CAMP HAMMER","Santa Cruz","Transient non-community system",NA,NA,NA
"438","CA4400707","CAMP LINDBLAD","Santa Cruz","Transient non-community system",NA,NA,NA
"439","CA4400721","SKYLARK RANCH GIRL SCOUT CAMP","Santa Cruz","Transient non-community system",NA,NA,NA
"440","CA4400807","MT MADONNA INN RESTAURANT","Santa Cruz","Transient non-community system",NA,NA,NA
"441","CA5000057","PATIO VILLAGE MOBILEHOME PARK","Stanislaus","Community water system",NA,NA,NA
"442","CA3601119","FOUR CORNERS ARCO AMPM","San Bernardino","Transient non-community system",NA,NA,NA
"443","CA3303081","IDYLLWILD ARTS FOUNDATION","Riverside","Non-Transient non-community system",NA,NA,NA
"444","CA5200516","LAZY CORRAL MOBILE HOME PARK","Tehama","Community water system",NA,NA,NA
"445","CA5000051","MOBILE PLAZA PARK","Stanislaus","Community water system",NA,NA,NA
"446","CA4400659","BLUFF RESIDENTS WATER","Santa Cruz","Transient non-community system",NA,NA,NA
"447","CA5000442","VALLEY DISTRIBUTORS, INC.","Stanislaus","Non-Transient non-community system",NA,NA,NA
"448","CA3301735","WALLER TRACT WATER DISTRICT","Riverside","Community water system",NA,NA,NA
"449","CA3301850","DELARA RENTALS","Riverside","Community water system",NA,NA,NA
"450","CA3301227","KAISER EAGLE MOUNTAIN WATER","Riverside","Community water system",NA,NA,NA
"451","CA5500219","CAMP JOHN MENSINGER","Tuolumne","Transient non-community system",NA,NA,NA
"452","CA3701983","DUDLEY S BAKERY","San Diego","Transient non-community system",NA,NA,NA
"453","CA3600615","ACE MOTEL","San Bernardino","Transient non-community system",NA,NA,NA
"454","CA1000615","ROCK HAVEN, INC.","Fresno","Transient non-community system",NA,NA,NA
"455","CA4500100","SHASTA MARINA RESORT","Shasta","Transient non-community system",NA,NA,NA
"456","CA4400900","EXPLORING NEW HORIZONS-SEMPERVIRENS","Santa Cruz","Transient non-community system",NA,NA,NA
"457","CA5304101","Hawkins Bar Trailer Park","","Transient non-community system",NA,NA,NA
"458","CA3301556","RIV.COUNTY DISASTER PREP INDIO","Riverside","Transient non-community system",NA,NA,NA
"459","CA5000247","CERVANTES LABOR CAMP","","Transient non-community system",NA,NA,NA
"460","CA3105853","KIDD LAKE","Placer","Transient non-community system",NA,NA,NA
"461","CA3107313","AQUAPURE","Placer","Non-Transient non-community system",NA,NA,NA
"462","CA3106501","CISCO GROVE CAMPGROUND & RV PARK","Placer","Transient non-community system",NA,NA,NA
"463","CA5301003","LEWISTON PARK MWC","Trinity","Community water system",NA,NA,NA
"464","CA1907036","NEW APOSTOLIC CHURCH BOUQUET CANYON","Los Angeles","Non-Transient non-community system",NA,NA,NA
"465","CA1900706","CHAMPION WATER MUTUAL","Los Angeles","Community water system",NA,NA,NA
"466","CA4900890","REDWOOD ADVENTIST ACADEMY","Sonoma","Non-Transient non-community system",NA,NA,NA
"467","CA3301593","COYOTE SPRINGS VILLAGE","Riverside","Transient non-community system",NA,NA,NA
"468","CA1900509","BAXTER MUTUAL WATER CO.","Los Angeles","Community water system",NA,NA,NA
"469","CA3810002","HHW&P-CHERRY COMPOUND - SFPUC","San Francisco","Transient non-community system",NA,NA,NA
"470","CA3600541","ASSN OF WELL OWNERS","San Bernardino","Transient non-community system",NA,NA,NA
"471","CA5200533","PLUM VALLEY SCHOOL DISTRICT","Tehama","Non-Transient non-community system",NA,NA,NA
"472","CA4500146","POLLARD FLAT","Shasta","Transient non-community system",NA,NA,NA
"473","CA5000484","UNITED PALLET SERVICES INC WATER SYSTEM","Stanislaus","Non-Transient non-community system",NA,NA,NA
"474","CA3601149","GREEN VALLEY CAMPGROUND","San Bernardino","Transient non-community system",NA,NA,NA
"475","CA1700544","LAKE COUNTY CSA 7 - BONANZA SPRINGS","Lake","Community water system",NA,NA,NA
"476","CA1700574","LAKE COUNTY CSA 18 - STARVIEW","Lake","Community water system",NA,NA,NA
"477","CA1700563","LAKE COUNTY CSA 22 - MT. HANNAH","Lake","Community water system",NA,NA,NA
"478","CA1700516","LAKE COUNTY CSA 16 - PARADISE VALLEY","Lake","Community water system",NA,NA,NA
"479","CA1700672","BOATHOUSE RESTAURANT","Lake","Transient non-community system",NA,NA,NA
"480","CA1900827","HILLCREST MOBILE HOME PARK","Los Angeles","Community water system",NA,NA,NA
"481","CA4900643","MOUNT WESKE ESTATES MUTUAL WATER COMPANY","Sonoma","Community water system",NA,NA,NA
"482","CA4900676","SEQUOIA GARDENS MOBILE HOME PARK","Sonoma","Community water system",NA,NA,NA
"483","CA4500273","USFS - MARINERS PT/SKI ISLAND","Shasta","Transient non-community system",NA,NA,NA
"484","CA1502004","ANDREWS AG., INC","Kern","Transient non-community system",NA,NA,NA
"485","CA3000811","CRESCENT WATER ASSOCIATION","Orange","Non-Transient non-community system",NA,NA,NA
"486","CA5200005","TEHAMA CO.-WALNUT ST. COMPLEX","Tehama","Non-Transient non-community system",NA,NA,NA
"487","CA4010831","ESTRELLA CORRECTIONAL FACILITY","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"488","CA3400210","VINCE'S RESTAURANT","Sacramento","Transient non-community system",NA,NA,NA
"489","CA1900893","CAMP BLOOMFIELD","Los Angeles","Transient non-community system",NA,NA,NA
"490","CA1010056","BROWN WATER SYSTEM","Fresno","Transient non-community system",NA,NA,NA
"491","CA1000160","FRESNO RIFLE & PISTOL CLUB","Fresno","Transient non-community system",NA,NA,NA
"492","CA1900009","ADAMS RANCH MUTUAL WATER COMPANY","Los Angeles","Community water system",NA,NA,NA
"493","CA1900613","CAMP HI HILL","Los Angeles","Transient non-community system",NA,NA,NA
"494","CA1503256","KIDS KOUNTRY PRESCHOOL","Kern","Non-Transient non-community system",NA,NA,NA
"495","CA2000578","PETE'S PLACE (WATER)","Madera","Transient non-community system",NA,NA,NA
"496","CA1100159","HANK APODACA'S WATER SYSTEM","Glenn","Non-Transient non-community system",NA,NA,NA
"497","CA1900639","HATHAWAY-SYCAMORES CHILD FAMILY SVCS","Los Angeles","Community water system",NA,NA,NA
"498","CA1000410","SHORTYS PLACE","Fresno","Community water system",NA,NA,NA
"499","CA0600001","WARD'S BOAT LANDING","Colusa","Transient non-community system",NA,NA,NA
"500","CA4700586","SEIAD SCHOOL","Siskiyou","Non-Transient non-community system",NA,NA,NA
"501","CA1900122","ENVIRONMENTAL CARE INDUSTRIES-VLY CREST","Los Angeles","Non-Transient non-community system",NA,NA,NA
"502","CA0800645","PINE GROVE MAINT. & OPER.","Del Norte","Non-Transient non-community system",NA,NA,NA
"503","CA1502556","I & I FARMS INC.","Kern","Transient non-community system",NA,NA,NA
"504","CA1000162","FRESNO MOTEL","Fresno","Transient non-community system",NA,NA,NA
"505","CA1900946","PALMDALE TRAILER PARK","Los Angeles","Community water system",NA,NA,NA
"506","CA4700850","CALLAHAN WORK CENTER-KNF","Siskiyou","Transient non-community system",NA,NA,NA
"507","CA5304006","BIG BAR RANGER STATION","Trinity","Transient non-community system",NA,NA,NA
"508","CA1502017","WHEELER FARMS HEADQUARTERS","Kern","Community water system",NA,NA,NA
"509","CA2500512","BIG VALLEY PRIMARY SCHOOL","Modoc","Non-Transient non-community system",NA,NA,NA
"510","CA1502158","FALLING WATERS RIVER RESORT","Kern","Transient non-community system",NA,NA,NA
"511","CA2702542","LONOAK RD WS","Monterey","Non-Transient non-community system",NA,NA,NA
"512","CA3901334","BJJ COMPANY LLC","San Joaquin","Non-Transient non-community system",NA,NA,NA
"513","CA3400359","HAMILTON STREET PARK","Sacramento","Transient non-community system",NA,NA,NA
"514","CA5000217","FAITH HOME TEEN RANCH","Stanislaus","Community water system",NA,NA,NA
"515","CA5000271","BUEHNER WATER SYSTEM - WEBER COMPLEX","Stanislaus","Community water system",NA,NA,NA
"516","CA5000308","B & H MANUFACTURING","Stanislaus","Non-Transient non-community system",NA,NA,NA
"517","CA5000388","CARDOZA WATER SYSTEM","Stanislaus","Transient non-community system",NA,NA,NA
"518","CA5401092","SIERRA GLEN STORE","Tulare","Transient non-community system",NA,NA,NA
"519","CA5000077","CERES WEST MHP","Stanislaus","Community water system",NA,NA,NA
"520","CA5000085","GREEN RUN MOBILE ESTATES","Stanislaus","Community water system",NA,NA,NA
"521","CA2800613","LOKOYA REDWOODS","Napa","Community water system",NA,NA,NA
"522","CA2800844","NVUSD: CAPELL VALLEY SCHOOL","Napa","Non-Transient non-community system",NA,NA,NA
"523","CA2800845","NVUSD: WOODEN VALLEY SCHOOL","Napa","Non-Transient non-community system",NA,NA,NA
"524","CA4400539","MANANA WOODS","Santa Cruz","Community water system",NA,NA,NA
"525","CA2800508","CUVAISON VINEYARD","Napa","Transient non-community system",NA,NA,NA
"526","CA5400527","SHILOH WATER CO.","Tulare","Community water system",NA,NA,NA
"527","CA3901035","LODI USD-HENDERSON SCHOOL","San Joaquin","Non-Transient non-community system",NA,NA,NA
"528","CA1900559","CAMP HILLEL HOUSE","Los Angeles","Transient non-community system",NA,NA,NA
"529","CA5403076","CENTRAL CAL TRISTEZA ERAD","Tulare","Transient non-community system",NA,NA,NA
"530","CA5403086","MARTELLA LIVESTOCK AUCTION","Tulare","Transient non-community system",NA,NA,NA
"531","CA5403100","SEVEN CIRCLES RETREAT","Tulare","Transient non-community system",NA,NA,NA
"532","CA4400581","OLYMPIA MUTUAL WATER COMPANY","Santa Cruz","Community water system",NA,NA,NA
"533","CA4400634","APTOS HILLS MUTUAL WATER CO","Santa Cruz","Community water system",NA,NA,NA
"534","CA2800585","MARKLEY COVE RESORT","Napa","Transient non-community system",NA,NA,NA
"535","CA2801054","WHITE SULPHUR SPRINGS RESORT","Napa","Transient non-community system",NA,NA,NA
"536","CA2801025","NEWTON VINEYARD","Napa","Transient non-community system",NA,NA,NA
"537","CA1500511","VR'S TRAILER PARK","Kern","Community water system",NA,NA,NA
"538","CA4500291","JULIAN CHRISTIAN HIGH SCHOOL","Shasta","Community water system",NA,NA,NA
"539","CA3400198","CARA BAY APARTMENTS","Sacramento","Community water system",NA,NA,NA
"540","CA4400626","BAILLERES RENTALS","Santa Cruz","Non-Transient non-community system",NA,NA,NA
"541","CA2702386","CHUALAR CYN WS #11","Monterey","Community water system",NA,NA,NA
"542","CA1300578","WESTSIDE SCHOOL","Imperial","Non-Transient non-community system",NA,NA,NA
"543","CA2800557","CASTLE TROVE, INC.","Napa","Transient non-community system",NA,NA,NA
"544","CA2800575","CALISTOGA RANCH","Napa","Non-Transient non-community system",NA,NA,NA
"545","CA4500002","CALIFORNIA KAMLOOPS","Shasta","Transient non-community system",NA,NA,NA
"546","CA3400421","ROD MCLELLAN CO","Sacramento","Non-Transient non-community system",NA,NA,NA
"547","CA3400249","JOSEPH KERR MIDDLE SCHOOL","Sacramento","Non-Transient non-community system",NA,NA,NA
"548","CA1400001","RANCH HOUSE CAFT","Inyo","Transient non-community system",NA,NA,NA
"549","CA5800807","AERO PINES ASSOCIATION","Yuba","Community water system",NA,NA,NA
"550","CA5800810","BIBLE BAPTIST ACADEMY","Yuba","Non-Transient non-community system",NA,NA,NA
"551","CA5800813","PONDEROSA MOBILE HOME PARK","Yuba","Community water system",NA,NA,NA
"552","CA5800825","GOLDEN ACRES MOBILE HOME PARK","Yuba","Community water system",NA,NA,NA
"553","CA3400423","UCD MEDICAL CENTER","Sacramento","Transient non-community system",NA,NA,NA
"554","CA0300518","ORO MADRE MOOSE LODGE 1761","Amador","Transient non-community system",NA,NA,NA
"555","CA2000516","ROCK CREEK CG WATER SYSTEM","Madera","Transient non-community system",NA,NA,NA
"556","CA2000518","MAMMOTH POOL CG WATER SYSTEM","Madera","Transient non-community system",NA,NA,NA
"557","CA3400332","OXBOW MARINA (SWS)","Sacramento","Community water system",NA,NA,NA
"558","CA3400352","ACORN MOBILE VILLAGE","Sacramento","Community water system",NA,NA,NA
"559","CA0707602","BEACON WEST","Contra Costa","Community water system",NA,NA,NA
"560","CA0706026","MARINE EMPORIUM RICHARDS YACHT","Contra Costa","Transient non-community system",NA,NA,NA
"561","CA5700580","GREEN ACRE SCHOOL CHILD CARE","Yolo","Non-Transient non-community system",NA,NA,NA
"562","CA5700649","WESTUCKY WATER ASSOC","Yolo","Community water system",NA,NA,NA
"563","CA2000614","OAK CREEK INTERMEDIATE SCHOOL","Madera","Non-Transient non-community system",NA,NA,NA
"564","CA2000856","WAGNER'S MAMMOTH POOL RESORT","Madera","Transient non-community system",NA,NA,NA
"565","CA2000621","MINARETS WORK CENTER(WATER)","Madera","Transient non-community system",NA,NA,NA
"566","CA2000925","TIMES SQUARE","Madera","Transient non-community system",NA,NA,NA
