"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"67","CA2000377","P.A.M - OFFICE","Madera","Non-Transient non-community system",NA,NA,NA
"68","CA1600601","KWRA MRF","Kings","Non-Transient non-community system",NA,NA,NA
"69","CA0706106","LITTORNO & PANFILI WATER SYSTEM","Contra Costa","Transient non-community system",NA,NA,NA
"70","CA0706105","D ANNA YACHT CENTER","Contra Costa","Transient non-community system",NA,NA,NA
"71","CA0708004","BRENTWOOD CREEK FARM","Contra Costa","Non-Transient non-community system",NA,NA,NA
"72","CA0708006","CECCHINI WATER","Contra Costa","Transient non-community system",NA,NA,NA
"73","CA0701988","HOLY CROSS CEMETERY","Contra Costa","Transient non-community system",NA,NA,NA
"74","CA0702185","SUES SWIM SCHOOL","Contra Costa","Transient non-community system",NA,NA,NA
"75","CA0706007","VILLA DE GUADALUPE","Contra Costa","Community water system",NA,NA,NA
"76","CA3901395","WOODBRIDGE COMMUNITY CHURCH","San Joaquin","Transient non-community system",NA,NA,NA
"77","CA3901396","BENETO WATER SYSTEM","San Joaquin","Non-Transient non-community system",NA,NA,NA
"78","CA3900810","JR SIMPLOT CO","San Joaquin","Non-Transient non-community system",NA,NA,NA
"79","CA5800900","OAK RIDGE APARTMENTS","Yuba","Community water system",NA,NA,NA
"80","CA5800902","NAUMES, INC. WELL #9","Yuba","Community water system",NA,NA,NA
"81","CA5800905","ZION S CAMP","Yuba","Transient non-community system",NA,NA,NA
"82","CA5800025","KB PACKING","Yuba","Non-Transient non-community system",NA,NA,NA
"83","CA5800204","STRAWBERRY VALLEY GEN STORE","Yuba","Transient non-community system",NA,NA,NA
"84","CA5800421","NAUMES JUICE PLANT WELL #148","Yuba","Non-Transient non-community system",NA,NA,NA
"85","CA5800534","CAFE COLLAGE","Yuba","Transient non-community system",NA,NA,NA
"86","CA5800907","MOONSHINE CAMPGROUND","Yuba","Transient non-community system",NA,NA,NA
"87","CA5800915","NORCAL LUMBER","Yuba","Non-Transient non-community system",NA,NA,NA
"88","CA0707543","BRENTWOOD MISSIONARY BAPTIST","Contra Costa","Non-Transient non-community system",NA,NA,NA
"89","CA0707557","NEIGHBORHOOD CHURCH","Contra Costa","Non-Transient non-community system",NA,NA,NA
"90","CA1600004","FOUR SEASONS MOBILE HOME PARK","Kings","Community water system",NA,NA,NA
"91","CA1600010","LACEY COURTS MHP","Kings","Community water system",NA,NA,NA
"92","CA1600014","KIT CARSON ELEM SCHOOL","Kings","Non-Transient non-community system",NA,NA,NA
"93","CA1600239","VIDAURRI - ADOBE HACIENDA","Kings","Transient non-community system",NA,NA,NA
"94","CA1600240","RUBALCAVA WATER SYSTEM","Kings","Transient non-community system",NA,NA,NA
"95","CA5800921","BISHOP S PUMPKIN FARM","Yuba","Transient non-community system",NA,NA,NA
"96","CA1600031","LEMOORE MOBILE HOME PARK","Kings","Community water system",NA,NA,NA
"97","CA4500155","SHINGLE SHACK","Shasta","Transient non-community system",NA,NA,NA
"98","CA3010055","SOUTH COAST WD - CAPISTRANO BEACH","Orange","Community water system",NA,NA,NA
"99","CA4901351","CARLISLE WINERY","Sonoma","Transient non-community system",NA,NA,NA
"100","CA1000207","WESTERN ART CENTER","Fresno","Non-Transient non-community system",NA,NA,NA
"101","CA5400695","ARMY CORPS ENGS-SOUTH CAMP 3-1","Tulare","Transient non-community system",NA,NA,NA
"102","CA2400077","LILA S RESTAURANT (FKA HERMANAS CAFE)","Merced","Transient non-community system",NA,NA,NA
"103","CA1210315","WILLIAMS GROVE - STATE PARKS","Humboldt","Transient non-community system",NA,NA,NA
"104","CA1200726","CALIFORNIA REDWOOD CO. - BRAINARD","Humboldt","Non-Transient non-community system",NA,NA,NA
"105","CA5400507","VISALIA - FRESNO SOUTH KOA","Tulare","Transient non-community system",NA,NA,NA
"106","CA2400225","DRISCOLL STRAWBERRY","Merced","Transient non-community system",NA,NA,NA
"107","CA2300503","SUTHERLAND WATERWORKS","Mendocino","Transient non-community system",NA,NA,NA
"108","CA1900631","CAMP CISQUITO / LIVE AGAIN RECOVERY HOME","Los Angeles","Transient non-community system",NA,NA,NA
"109","CA2600579","LOG CABIN WILDERNESS CAMP","Mono","Transient non-community system",NA,NA,NA
"110","CA0900217","BEAR STATE WATER WORKS","El Dorado","Community water system",NA,NA,NA
"111","CA4901311","MARK WEST NEIGHBORHOOD CHURCH","Sonoma","Transient non-community system",NA,NA,NA
"112","CA3901419","SJC MOSSDALE CROSSING PARK","San Joaquin","Transient non-community system",NA,NA,NA
"113","CA1900641","CAMP TWIN VALLEY/SPANISH TRAILS","Los Angeles","Transient non-community system",NA,NA,NA
"114","CA1900912","GORMAN ELEMENTARY SCHOOL/DISTRICT OFFICE","Los Angeles","Non-Transient non-community system",NA,NA,NA
"115","CA5510030","TUD - MONTE GRANDE WATER SYSTEM","Tuolumne","Community water system",NA,NA,NA
"116","CA5510029","TUD - BIG HILL WATER SYSTEM","Tuolumne","Community water system",NA,NA,NA
"117","CA5510027","TUD-CUESTA CENTER-LAMBERT LAKES","Tuolumne","Community water system",NA,NA,NA
"118","CA5510022","TUD-EAST SONORA WATER SYSTEM","Tuolumne","Non-Transient non-community system",NA,NA,NA
"119","CA5510019","TUD -  MONO VILLAGE WATER SYSTEM","Tuolumne","Community water system",NA,NA,NA
"120","CA5510010","TUD - CRYSTAL FALLS WATER SYSTEM","Tuolumne","Community water system",NA,NA,NA
"121","CA3901311","ROYCE FARMS BBQ","San Joaquin","Transient non-community system",NA,NA,NA
