"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"362","CA4500347",NA,NA,NA,"GAS POINT MARKET","Transient non-community system","Shasta"
"363","CA5200716",NA,NA,NA,"HIGHLAND RANCH LLC","Transient non-community system","Tehama"
"364","CA1503686",NA,NA,NA,"MILLENNIUM PACIFIC GREENHOUSES","Non-Transient non-community system","Kern"
"365","CA2700014",NA,NA,NA,"SPENCE RD CULTIVATION WS","Non-Transient non-community system","Monterey"
"366","CA4901420",NA,NA,NA,"ROCHE FAMILY WINERY","Transient non-community system","Sonoma"
"367","CA1000619",NA,NA,NA,"HANDISTOP MARKET","Transient non-community system","Fresno"
"368","CA2700147",NA,NA,NA,"FLRISH FARMS WS","Non-Transient non-community system","Monterey"
"369","CA1805010",NA,NA,NA,"JANESVILLE DOLLAR GENERAL STORE","Transient non-community system","Lassen"
"370","CA1000654",NA,NA,NA,"DOLLAR GENERAL #19853 - SQUAW VALLEY","Transient non-community system","Fresno"
"371","CA2900504",NA,NA,NA,"SIERRA ENERGY #3","Transient non-community system","Nevada"
"372","CA3107350",NA,NA,NA,"CIOTTI CELLARS","Transient non-community system","Placer"
"373","CA4200814",NA,NA,NA,"JONATA HOMEOWNERS ASSOCIATION","Community water system","Santa Barbara"
"374","CA5700748",NA,NA,NA,"FULL BELLY FARM","Non-Transient non-community system","Yolo"
"375","CA4000835",NA,NA,NA,"INDEPENDENCE WATER SYSTEM","Non-Transient non-community system","San Luis Obispo"
"376","CA3500930",NA,NA,NA,"BENITO VALLEY FARMS","Community water system","San Benito"
"377","CA4000834",NA,NA,NA,"ANZA VINEYARD ESTATES MUTUAL WATER CO","Community water system","San Luis Obispo"
"378","CA5403211",NA,NA,NA,"BOOTH RANCHES LLC","Non-Transient non-community system","Tulare"
"379","CA0910300",NA,NA,NA,"FOLSOM LAKE SRA - PENINSULA CAMPGROUND","Transient non-community system","El Dorado"
"380","CA1800557",NA,NA,NA,"MOUNTAIN VALLEY LATTER-DAY SAINTS CHURCH","Transient non-community system","Lassen"
"381","CA3902207",NA,NA,NA,"RIPON CHURCH OF CHRIST","Transient non-community system","San Joaquin"
"382","CA1000606",NA,NA,NA,"CLINGANS JUNCTION CABINS AND COFFEE","Transient non-community system","Fresno"
"383","CA4901425",NA,NA,NA,"E STRING CELLARS","Transient non-community system","Sonoma"
"384","CA0707915",NA,NA,NA,"TESS FARM MARKET","Transient non-community system","Contra Costa"
"385","CA2800063",NA,NA,NA,"HUDSON VINEYARDS WINERY WATER SYSTEM","Transient non-community system","Napa"
"386","CA0300104",NA,NA,NA,"SLO 2 20 WINERY","Transient non-community system","Amador"
"387","CA1600608",NA,NA,NA,"WSL - SURF RANCH","Transient non-community system","Kings"
"388","CA1504004",NA,NA,NA,"BLOSSOM VALLEY ORGANICS SOUTH","Non-Transient non-community system","Kern"
"389","CA1600609",NA,NA,NA,"NETTO AG INC.","Non-Transient non-community system","Kings"
"390","CA4901432",NA,NA,NA,"SAINI WINERY","Transient non-community system","Sonoma"
"391","CA4901448",NA,NA,NA,"BELLA VINEYARDS AND WINE CAVES","Transient non-community system","Sonoma"
"392","CA2400336",NA,NA,NA,"DOREVA PRODUCE","Non-Transient non-community system","Merced"
"393","CA4901440",NA,NA,NA,"SUGARLOAF WATER SYSTEM","Transient non-community system","Sonoma"
